perception,estimator,controller,centroid_method,preset,trajectory,status,mean_error_px,max_error_px,lock_rate_pct,nan_inf
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,figure8,PASSED,14.63,35.34,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,sinusoidal,PASSED,38.18,120.87,0.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,circular,PASSED,298.3,300.9,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,straight,PASSED,3.54,6.47,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,random,PASSED,2.46,2.5,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,NOMINAL,spiral,PASSED,48.94,52.5,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,figure8,PASSED,15.16,35.3,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,sinusoidal,PASSED,36.84,118.16,0.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,circular,PASSED,303.12,304.22,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,straight,PASSED,3.8,6.24,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,random,PASSED,4.79,6.06,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,DIFFICULT,spiral,PASSED,51.81,55.06,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,SEVERE,figure8,PASSED,20.85,28.84,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,SEVERE,sinusoidal,PASSED,10.95,10.95,0.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,SEVERE,circular,PASSED,307.75,311.44,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,ADRC_NONLINEAR,weighted_cog,SEVERE,straight,PASSED,12.02,16.06,40.0,NO
