frame_idx,timestamp_s,ground_truth_u,ground_truth_v,occulted
0,0.0,320.698,241.476,0
1,0.0333,326.218,249.253,0
2,0.0667,333.869,256.168,0
3,0.1,339.725,261.836,0
4,0.1333,345.164,268.348,0
5,0.1667,348.095,272.9,0
6,0.2,353.767,281.246,0
7,0.2333,356.578,286.475,0
8,0.2667,361.568,294.388,0
9,0.3,366.047,301.059,0
10,0.3333,373.537,310.717,0
11,0.3667,379.511,314.886,0
12,0.4,385.631,321.096,0
13,0.4333,393.452,328.815,0
14,0.4667,398.251,334.873,0
15,0.5,404.845,337.686,0
16,0.5333,408.678,341.429,0
17,0.5667,412.619,346.804,0
18,0.6,416.593,347.295,0
19,0.6333,419.3,351.033,0
20,0.6667,423.108,353.141,0
21,0.7,427.375,356.308,0
22,0.7333,432.01,360.497,0
23,0.7667,439.492,365.016,0
24,0.8,446.29,367.208,0
25,0.8333,451.33,369.787,0
26,0.8667,456.032,370.733,0
27,0.9,459.568,371.391,0
28,0.9333,461.956,372.431,0
29,0.9667,466.739,370.757,0
30,1.0,469.669,369.349,0
31,1.0333,470.192,367.631,0
32,1.0667,472.54,365.975,0
33,1.1,477.465,363.588,0
34,1.1333,480.877,360.466,0
35,1.1667,486.854,358.568,0
36,1.2,490.311,358.302,0
37,1.2333,494.421,352.958,0
38,1.2667,498.184,351.948,0
39,1.3,500.135,348.97,0
40,1.3333,502.532,345.137,0
41,1.3667,502.061,340.097,0
42,1.4,502.709,335.372,0
43,1.4333,504.223,329.335,0
44,1.4667,503.913,321.844,0
45,1.5,507.104,315.031,0
46,1.5333,509.361,307.688,0
47,1.5667,514.528,302.493,0
48,1.6,515.875,295.789,0
49,1.6333,518.317,290.146,0
50,1.6667,520.063,284.017,0
51,1.7,522.437,278.26,0
52,1.7333,519.184,273.316,0
53,1.7667,519.168,266.68,0
54,1.8,520.06,258.819,0
55,1.8333,515.789,252.075,0
56,1.8667,517.387,244.174,0
57,1.9,517.395,235.224,0
58,1.9333,517.66,226.913,0
59,1.9667,519.656,217.946,0
60,2.0,521.227,210.53,0
