frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,290.0,1
1,0.0333,322.094,289.97,1
2,0.0667,324.187,289.878,1
3,0.1,326.277,289.726,1
4,0.1333,328.362,289.513,1
5,0.1667,330.442,289.24,1
6,0.2,332.515,288.907,1
7,0.2333,334.579,288.515,1
8,0.2667,336.633,288.063,1
9,0.3,338.676,287.553,1
10,0.3333,340.706,286.985,1
11,0.3667,342.721,286.359,1
12,0.4,344.721,285.677,1
13,0.4333,346.705,284.94,1
14,0.4667,348.669,284.147,1
15,0.5,350.615,283.301,1
16,0.5333,352.539,282.402,1
17,0.5667,354.441,281.452,1
18,0.6,356.319,280.451,1
19,0.6333,358.173,279.401,1
20,0.6667,360.0,278.302,1
21,0.7,361.8,277.157,1
22,0.7333,363.571,275.967,1
23,0.7667,365.312,274.733,1
24,0.8,367.023,273.457,1
25,0.8333,368.701,272.139,1
26,0.8667,370.346,270.783,1
27,0.9,371.956,269.389,1
28,0.9333,373.53,267.96,1
29,0.9667,375.068,266.496,1
30,1.0,376.569,265.0,1
31,1.0333,378.03,263.474,1
32,1.0667,379.452,261.919,1
33,1.1,380.832,260.337,1
34,1.1333,382.172,258.73,1
35,1.1667,383.468,257.101,1
36,1.2,384.721,255.451,1
37,1.2333,385.93,253.782,1
38,1.2667,387.094,252.096,1
39,1.3,388.211,250.396,1
40,1.3333,389.282,248.682,1
41,1.3667,390.305,246.959,1
42,1.4,391.281,245.226,1
43,1.4333,392.207,243.488,1
44,1.4667,393.084,241.745,1
45,1.5,393.91,240.0,1
46,1.5333,394.686,238.255,1
47,1.5667,395.411,236.512,1
48,1.6,396.085,234.774,1
49,1.6333,396.706,233.041,1
50,1.6667,397.274,231.318,1
51,1.7,397.79,229.604,1
52,1.7333,398.252,227.904,1
53,1.7667,398.66,226.218,1
54,1.8,399.015,224.549,1
55,1.8333,399.316,222.899,1
56,1.8667,399.562,221.27,1
57,1.9,399.753,219.663,1
58,1.9333,399.89,218.081,1
59,1.9667,399.973,216.526,1
60,2.0,400.0,215.0,1
61,2.0333,399.973,213.504,1
62,2.0667,399.89,212.04,1
63,2.1,399.753,210.611,1
64,2.1333,399.562,209.217,1
65,2.1667,399.316,207.861,1
66,2.2,399.015,206.543,1
67,2.2333,398.66,205.267,1
68,2.2667,398.252,204.033,1
69,2.3,397.79,202.843,1
70,2.3333,397.274,201.698,1
71,2.3667,396.706,200.599,1
72,2.4,396.085,199.549,1
73,2.4333,395.411,198.548,1
74,2.4667,394.686,197.598,1
75,2.5,393.91,196.699,1
76,2.5333,393.084,195.853,1
77,2.5667,392.207,195.06,1
78,2.6,391.281,194.323,1
79,2.6333,390.305,193.641,1
80,2.6667,389.282,193.015,1
81,2.7,388.211,192.447,1
82,2.7333,387.094,191.937,1
83,2.7667,385.93,191.485,1
84,2.8,384.721,191.093,1
85,2.8333,383.468,190.76,1
86,2.8667,382.172,190.487,1
87,2.9,380.832,190.274,1
88,2.9333,379.452,190.122,1
89,2.9667,378.03,190.03,1
90,3.0,376.569,190.0,1
91,3.0333,375.068,190.03,1
92,3.0667,373.53,190.122,1
93,3.1,371.956,190.274,1
94,3.1333,370.346,190.487,1
95,3.1667,368.701,190.76,1
96,3.2,367.023,191.093,1
97,3.2333,365.312,191.485,1
98,3.2667,363.571,191.937,1
99,3.3,361.8,192.447,1
100,3.3333,360.0,193.015,1
101,3.3667,358.173,193.641,1
102,3.4,356.319,194.323,1
103,3.4333,354.441,195.06,1
104,3.4667,352.539,195.853,1
105,3.5,350.615,196.699,1
106,3.5333,348.669,197.598,1
107,3.5667,346.705,198.548,1
108,3.6,344.721,199.549,1
109,3.6333,342.721,200.599,1
110,3.6667,340.706,201.698,1
111,3.7,338.676,202.843,1
112,3.7333,336.633,204.033,1
113,3.7667,334.579,205.267,1
114,3.8,332.515,206.543,1
115,3.8333,330.442,207.861,1
116,3.8667,328.362,209.217,1
117,3.9,326.277,210.611,1
118,3.9333,324.187,212.04,1
119,3.9667,322.094,213.504,1
120,4.0,320.0,215.0,1
121,4.0333,317.906,216.526,1
122,4.0667,315.813,218.081,1
123,4.1,313.723,219.663,1
124,4.1333,311.638,221.27,1
125,4.1667,309.558,222.899,1
126,4.2,307.485,224.549,1
127,4.2333,305.421,226.218,1
128,4.2667,303.367,227.904,1
129,4.3,301.324,229.604,1
130,4.3333,299.294,231.318,1
131,4.3667,297.279,233.041,1
132,4.4,295.279,234.774,1
133,4.4333,293.295,236.512,1
134,4.4667,291.331,238.255,1
135,4.5,289.385,240.0,1
136,4.5333,287.461,241.745,1
137,4.5667,285.559,243.488,1
138,4.6,283.681,245.226,1
139,4.6333,281.827,246.959,1
140,4.6667,280.0,248.682,1
141,4.7,278.2,250.396,1
142,4.7333,276.429,252.096,1
143,4.7667,274.688,253.782,1
144,4.8,272.977,255.451,1
145,4.8333,271.299,257.101,1
146,4.8667,269.654,258.73,1
147,4.9,268.044,260.337,1
148,4.9333,266.47,261.919,1
149,4.9667,264.932,263.474,1
150,5.0,263.431,265.0,1
151,5.0333,261.97,266.496,1
152,5.0667,260.548,267.96,1
153,5.1,259.168,269.389,1
154,5.1333,257.828,270.783,1
155,5.1667,256.532,272.139,1
156,5.2,255.279,273.457,1
157,5.2333,254.07,274.733,1
158,5.2667,252.906,275.967,1
159,5.3,251.789,277.157,1
160,5.3333,250.718,278.302,1
161,5.3667,249.695,279.401,1
162,5.4,248.719,280.451,1
163,5.4333,247.793,281.452,1
164,5.4667,246.916,282.402,1
165,5.5,246.09,283.301,1
166,5.5333,245.314,284.147,1
167,5.5667,244.589,284.94,1
168,5.6,243.915,285.677,1
169,5.6333,243.294,286.359,1
170,5.6667,242.726,286.985,1
171,5.7,242.21,287.553,1
172,5.7333,241.748,288.063,1
173,5.7667,241.34,288.515,1
174,5.8,240.985,288.907,1
175,5.8333,240.684,289.24,1
176,5.8667,240.438,289.513,1
177,5.9,240.247,289.726,1
178,5.9333,240.11,289.878,1
179,5.9667,240.027,289.97,1
180,6.0,240.0,290.0,1
181,6.0333,240.027,289.97,1
182,6.0667,240.11,289.878,1
183,6.1,240.247,289.726,1
184,6.1333,240.438,289.513,1
185,6.1667,240.684,289.24,1
186,6.2,240.985,288.907,1
187,6.2333,241.34,288.515,1
188,6.2667,241.748,288.063,1
189,6.3,242.21,287.553,1
190,6.3333,242.726,286.985,1
191,6.3667,243.294,286.359,1
192,6.4,243.915,285.677,1
193,6.4333,244.589,284.94,1
194,6.4667,245.314,284.147,1
195,6.5,246.09,283.301,1
196,6.5333,246.916,282.402,1
197,6.5667,247.793,281.452,1
198,6.6,248.719,280.451,1
199,6.6333,249.695,279.401,1
200,6.6667,250.718,278.302,1
201,6.7,251.789,277.157,1
202,6.7333,252.906,275.967,1
203,6.7667,254.07,274.733,1
204,6.8,255.279,273.457,1
205,6.8333,256.532,272.139,1
206,6.8667,257.828,270.783,1
207,6.9,259.168,269.389,1
208,6.9333,260.548,267.96,1
209,6.9667,261.97,266.496,1
210,7.0,263.431,265.0,1
211,7.0333,264.932,263.474,1
212,7.0667,266.47,261.919,1
213,7.1,268.044,260.337,1
214,7.1333,269.654,258.73,1
215,7.1667,271.299,257.101,1
216,7.2,272.977,255.451,1
217,7.2333,274.688,253.782,1
218,7.2667,276.429,252.096,1
219,7.3,278.2,250.396,1
220,7.3333,280.0,248.682,1
221,7.3667,281.827,246.959,1
222,7.4,283.681,245.226,1
223,7.4333,285.559,243.488,1
224,7.4667,287.461,241.745,1
225,7.5,289.385,240.0,1
226,7.5333,291.331,238.255,1
227,7.5667,293.295,236.512,1
228,7.6,295.279,234.774,1
229,7.6333,297.279,233.041,1
230,7.6667,299.294,231.318,1
231,7.7,301.324,229.604,1
232,7.7333,303.367,227.904,1
233,7.7667,305.421,226.218,1
234,7.8,307.485,224.549,1
235,7.8333,309.558,222.899,1
236,7.8667,311.638,221.27,1
237,7.9,313.723,219.663,1
238,7.9333,315.813,218.081,1
239,7.9667,317.906,216.526,1
240,8.0,320.0,215.0,1
241,8.0333,322.094,213.504,1
242,8.0667,324.187,212.04,1
243,8.1,326.277,210.611,1
244,8.1333,328.362,209.217,1
245,8.1667,330.442,207.861,1
246,8.2,332.515,206.543,1
247,8.2333,334.579,205.267,1
248,8.2667,336.633,204.033,1
249,8.3,338.676,202.843,1
250,8.3333,340.706,201.698,1
251,8.3667,342.721,200.599,1
