frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,450.0,1
1,0.0333,325.694,449.965,1
2,0.0667,331.385,449.859,1
3,0.1,337.073,449.683,1
4,0.1333,342.753,449.436,1
5,0.1667,348.425,449.119,1
6,0.2,354.086,448.732,1
7,0.2333,359.734,448.274,1
8,0.2667,365.366,447.747,1
9,0.3,370.981,447.15,1
10,0.3333,376.576,446.484,1
11,0.3667,382.15,445.748,1
12,0.4,387.699,444.943,1
13,0.4333,393.223,444.069,1
14,0.4667,398.718,443.126,1
15,0.5,404.183,442.116,1
16,0.5333,409.615,441.037,1
17,0.5667,415.013,439.891,1
18,0.6,420.374,438.678,1
19,0.6333,425.696,437.398,1
20,0.6667,430.978,436.052,1
21,0.7,436.217,434.64,1
22,0.7333,441.411,433.163,1
23,0.7667,446.559,431.62,1
24,0.8,451.657,430.014,1
25,0.8333,456.705,428.343,1
26,0.8667,461.7,426.61,1
27,0.9,466.641,424.813,1
28,0.9333,471.525,422.955,1
29,0.9667,476.35,421.035,1
30,1.0,481.115,419.054,1
31,1.0333,485.819,417.014,1
32,1.0667,490.458,414.913,1
33,1.1,495.031,412.755,1
34,1.1333,499.537,410.538,1
35,1.1667,503.974,408.263,1
36,1.2,508.34,405.933,1
37,1.2333,512.633,403.546,1
38,1.2667,516.852,401.105,1
39,1.3,520.995,398.609,1
40,1.3333,525.061,396.06,1
41,1.3667,529.048,393.459,1
42,1.4,532.954,390.807,1
43,1.4333,536.777,388.103,1
44,1.4667,540.518,385.35,1
45,1.5,544.173,382.548,1
46,1.5333,547.742,379.698,1
47,1.5667,551.223,376.802,1
48,1.6,554.615,373.859,1
49,1.6333,557.916,370.871,1
50,1.6667,561.126,367.84,1
51,1.7,564.243,364.765,1
52,1.7333,567.266,361.649,1
53,1.7667,570.193,358.492,1
54,1.8,573.024,355.295,1
55,1.8333,575.757,352.059,1
56,1.8667,578.392,348.786,1
57,1.9,580.927,345.476,1
58,1.9333,583.362,342.13,1
59,1.9667,585.695,338.751,1
60,2.0,587.925,335.338,1
61,2.0333,590.052,331.893,1
62,2.0667,592.075,328.418,1
63,2.1,593.994,324.912,1
64,2.1333,595.806,321.378,1
65,2.1667,597.513,317.817,1
66,2.2,599.112,314.23,1
67,2.2333,600.604,310.617,1
68,2.2667,601.987,306.981,1
69,2.3,603.262,303.323,1
70,2.3333,604.428,299.643,1
71,2.3667,605.484,295.943,1
72,2.4,606.43,292.225,1
73,2.4333,607.265,288.489,1
74,2.4667,607.99,284.736,1
75,2.5,608.604,280.969,1
76,2.5333,609.106,277.188,1
77,2.5667,609.497,273.394,1
78,2.6,609.776,269.589,1
79,2.6333,609.944,265.774,1
80,2.6667,610.0,261.951,1
81,2.7,609.944,258.12,1
82,2.7333,609.776,254.283,1
83,2.7667,609.497,250.441,1
84,2.8,609.106,246.596,1
85,2.8333,608.604,242.749,1
86,2.8667,607.99,238.9,1
87,2.9,607.265,235.052,1
88,2.9333,606.43,231.206,1
89,2.9667,605.484,227.363,1
90,3.0,604.428,223.524,1
91,3.0333,603.262,219.69,1
92,3.0667,601.987,215.863,1
93,3.1,600.604,212.045,1
94,3.1333,599.112,208.235,1
95,3.1667,597.513,204.437,1
96,3.2,595.806,200.65,1
