frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,300.0,1
1,0.0333,322.094,299.979,1
2,0.0667,324.188,299.918,1
3,0.1,326.279,299.815,1
4,0.1333,328.368,299.671,1
5,0.1667,330.453,299.487,1
6,0.2,332.533,299.261,1
7,0.2333,334.608,298.995,1
8,0.2667,336.677,298.689,1
9,0.3,338.738,298.342,1
10,0.3333,340.791,297.956,1
11,0.3667,342.835,297.529,1
12,0.4,344.869,297.063,1
13,0.4333,346.892,296.558,1
14,0.4667,348.903,296.015,1
15,0.5,350.902,295.433,1
16,0.5333,352.887,294.813,1
17,0.5667,354.857,294.155,1
18,0.6,356.812,293.46,1
19,0.6333,358.752,292.729,1
20,0.6667,360.674,291.962,1
21,0.7,362.578,291.158,1
22,0.7333,364.464,290.32,1
23,0.7667,366.33,289.448,1
24,0.8,368.175,288.541,1
25,0.8333,370.0,287.601,1
26,0.8667,371.803,286.629,1
27,0.9,373.583,285.624,1
28,0.9333,375.339,284.589,1
29,0.9667,377.071,283.522,1
30,1.0,378.779,282.426,1
31,1.0333,380.46,281.301,1
32,1.0667,382.115,280.148,1
33,1.1,383.742,278.967,1
34,1.1333,385.342,277.759,1
35,1.1667,386.913,276.526,1
36,1.2,388.455,275.267,1
37,1.2333,389.966,273.984,1
38,1.2667,391.447,272.678,1
39,1.3,392.897,271.35,1
40,1.3333,394.314,270.0,1
41,1.3667,395.7,268.63,1
42,1.4,397.051,267.239,1
43,1.4333,398.369,265.831,1
44,1.4667,399.653,264.404,1
45,1.5,400.902,262.961,1
46,1.5333,402.115,261.502,1
47,1.5667,403.292,260.028,1
48,1.6,404.433,258.541,1
49,1.6333,405.536,257.041,1
50,1.6667,406.603,255.529,1
51,1.7,407.631,254.007,1
52,1.7333,408.62,252.475,1
53,1.7667,409.571,250.934,1
54,1.8,410.483,249.386,1
55,1.8333,411.355,247.832,1
56,1.8667,412.186,246.272,1
57,1.9,412.978,244.708,1
58,1.9333,413.728,243.14,1
59,1.9667,414.438,241.571,1
60,2.0,415.106,240.0,1
61,2.0333,415.732,238.429,1
62,2.0667,416.316,236.86,1
63,2.1,416.858,235.292,1
64,2.1333,417.358,233.728,1
65,2.1667,417.815,232.168,1
66,2.2,418.229,230.614,1
67,2.2333,418.6,229.066,1
68,2.2667,418.927,227.525,1
69,2.3,419.211,225.993,1
70,2.3333,419.452,224.471,1
71,2.3667,419.649,222.959,1
72,2.4,419.803,221.459,1
73,2.4333,419.912,219.972,1
74,2.4667,419.978,218.498,1
75,2.5,420.0,217.039,1
76,2.5333,419.978,215.596,1
77,2.5667,419.912,214.169,1
78,2.6,419.803,212.761,1
79,2.6333,419.649,211.37,1
80,2.6667,419.452,210.0,0
81,2.7,419.211,208.65,0
82,2.7333,418.927,207.322,0
83,2.7667,418.6,206.016,0
84,2.8,418.229,204.733,0
85,2.8333,417.815,203.474,0
86,2.8667,417.358,202.241,0
87,2.9,416.858,201.033,0
88,2.9333,416.316,199.852,0
89,2.9667,415.732,198.699,0
90,3.0,415.106,197.574,0
91,3.0333,414.438,196.478,0
92,3.0667,413.728,195.411,0
93,3.1,412.978,194.376,0
94,3.1333,412.186,193.371,0
95,3.1667,411.355,192.399,0
96,3.2,410.483,191.459,0
97,3.2333,409.571,190.552,0
98,3.2667,408.62,189.68,0
99,3.3,407.631,188.842,0
100,3.3333,406.603,188.038,0
101,3.3667,405.536,187.271,0
102,3.4,404.433,186.54,0
103,3.4333,403.292,185.845,0
104,3.4667,402.115,185.187,0
105,3.5,400.902,184.567,0
106,3.5333,399.653,183.985,0
107,3.5667,398.369,183.442,0
108,3.6,397.051,182.937,0
109,3.6333,395.7,182.471,0
110,3.6667,394.314,182.044,0
111,3.7,392.897,181.658,0
112,3.7333,391.447,181.311,0
