frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,285.0,1
1,0.0333,321.222,284.985,1
2,0.0667,322.443,284.938,1
3,0.1,323.664,284.861,1
4,0.1333,324.883,284.753,1
5,0.1667,326.101,284.615,1
6,0.2,327.317,284.446,1
7,0.2333,328.531,284.246,1
8,0.2667,329.742,284.017,1
9,0.3,330.95,283.757,1
10,0.3333,332.155,283.467,1
11,0.3667,333.357,283.147,1
12,0.4,334.554,282.798,1
13,0.4333,335.747,282.419,1
14,0.4667,336.935,282.011,1
15,0.5,338.117,281.575,1
16,0.5333,339.295,281.11,1
17,0.5667,340.466,280.616,1
18,0.6,341.631,280.095,1
19,0.6333,342.79,279.547,1
20,0.6667,343.941,278.971,1
21,0.7,345.086,278.369,1
22,0.7333,346.222,277.74,1
23,0.7667,347.351,277.086,1
24,0.8,348.472,276.406,1
25,0.8333,349.583,275.701,1
26,0.8667,350.686,274.972,1
27,0.9,351.779,274.218,1
28,0.9333,352.863,273.442,1
29,0.9667,353.937,272.642,1
30,1.0,355.0,271.82,1
31,1.0333,356.053,270.976,1
32,1.0667,357.094,270.111,1
33,1.1,358.125,269.225,1
34,1.1333,359.144,268.319,1
35,1.1667,360.15,267.394,1
36,1.2,361.145,266.45,1
37,1.2333,362.127,265.488,1
38,1.2667,363.096,264.509,1
39,1.3,364.052,263.512,1
40,1.3333,364.995,262.5,1
41,1.3667,365.924,261.472,1
42,1.4,366.839,260.43,1
43,1.4333,367.74,259.373,1
44,1.4667,368.626,258.303,1
45,1.5,369.497,257.221,1
46,1.5333,370.354,256.127,1
47,1.5667,371.195,255.021,1
48,1.6,372.02,253.906,1
49,1.6333,372.83,252.781,1
50,1.6667,373.623,251.647,1
51,1.7,374.4,250.505,1
52,1.7333,375.161,249.356,1
53,1.7667,375.904,248.201,1
54,1.8,376.631,247.04,1
55,1.8333,377.341,245.874,1
56,1.8667,378.033,244.704,1
57,1.9,378.707,243.531,1
58,1.9333,379.363,242.355,1
59,1.9667,380.002,241.178,1
60,2.0,380.622,240.0,1
61,2.0333,381.223,238.822,1
62,2.0667,381.806,237.645,1
63,2.1,382.37,236.469,1
64,2.1333,382.916,235.296,1
65,2.1667,383.442,234.126,1
66,2.2,383.948,232.96,1
67,2.2333,384.435,231.799,1
68,2.2667,384.903,230.644,1
69,2.3,385.351,229.495,1
70,2.3333,385.778,228.353,1
71,2.3667,386.186,227.219,1
72,2.4,386.574,226.094,1
73,2.4333,386.941,224.979,1
74,2.4667,387.288,223.873,1
75,2.5,387.615,222.779,1
76,2.5333,387.921,221.697,1
77,2.5667,388.206,220.627,1
78,2.6,388.47,219.57,1
79,2.6333,388.714,218.528,1
80,2.6667,388.937,217.5,1
81,2.7,389.138,216.488,1
82,2.7333,389.319,215.491,1
83,2.7667,389.478,214.512,1
84,2.8,389.617,213.55,1
85,2.8333,389.734,212.606,1
86,2.8667,389.829,211.681,1
87,2.9,389.904,210.775,1
88,2.9333,389.957,209.889,1
89,2.9667,389.989,209.024,1
90,3.0,390.0,208.18,1
91,3.0333,389.989,207.358,1
92,3.0667,389.957,206.558,1
93,3.1,389.904,205.782,1
94,3.1333,389.829,205.028,1
95,3.1667,389.734,204.299,1
96,3.2,389.617,203.594,1
97,3.2333,389.478,202.914,1
98,3.2667,389.319,202.26,1
99,3.3,389.138,201.631,1
100,3.3333,388.937,201.029,1
101,3.3667,388.714,200.453,1
102,3.4,388.47,199.905,1
103,3.4333,388.206,199.384,1
104,3.4667,387.921,198.89,1
105,3.5,387.615,198.425,1
106,3.5333,387.288,197.989,1
107,3.5667,386.941,197.581,1
108,3.6,386.574,197.202,1
109,3.6333,386.186,196.853,1
110,3.6667,385.778,196.533,1
111,3.7,385.351,196.243,1
112,3.7333,384.903,195.983,1
113,3.7667,384.435,195.754,1
114,3.8,383.948,195.554,1
115,3.8333,383.442,195.385,1
116,3.8667,382.916,195.247,1
117,3.9,382.37,195.139,1
118,3.9333,381.806,195.062,1
119,3.9667,381.223,195.015,1
120,4.0,380.622,195.0,1
121,4.0333,380.002,195.015,1
122,4.0667,379.363,195.062,1
123,4.1,378.707,195.139,1
124,4.1333,378.033,195.247,1
125,4.1667,377.341,195.385,1
126,4.2,376.631,195.554,1
127,4.2333,375.904,195.754,1
128,4.2667,375.161,195.983,1
129,4.3,374.4,196.243,1
130,4.3333,373.623,196.533,1
131,4.3667,372.83,196.853,1
132,4.4,372.02,197.202,1
133,4.4333,371.195,197.581,1
134,4.4667,370.354,197.989,1
135,4.5,369.497,198.425,1
136,4.5333,368.626,198.89,1
137,4.5667,367.74,199.384,1
138,4.6,366.839,199.905,1
139,4.6333,365.924,200.453,1
140,4.6667,364.995,201.029,1
141,4.7,364.052,201.631,1
142,4.7333,363.096,202.26,1
143,4.7667,362.127,202.914,1
144,4.8,361.145,203.594,1
145,4.8333,360.15,204.299,1
146,4.8667,359.144,205.028,1
147,4.9,358.125,205.782,1
148,4.9333,357.094,206.558,1
149,4.9667,356.053,207.358,1
150,5.0,355.0,208.18,1
151,5.0333,353.937,209.024,1
152,5.0667,352.863,209.889,1
153,5.1,351.779,210.775,1
154,5.1333,350.686,211.681,1
155,5.1667,349.583,212.606,1
156,5.2,348.472,213.55,1
157,5.2333,347.351,214.512,1
158,5.2667,346.222,215.491,1
159,5.3,345.086,216.488,1
160,5.3333,343.941,217.5,1
161,5.3667,342.79,218.528,1
162,5.4,341.631,219.57,1
163,5.4333,340.466,220.627,1
164,5.4667,339.295,221.697,1
165,5.5,338.117,222.779,1
