frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,295.0,1
1,0.0333,322.094,294.975,1
2,0.0667,324.187,294.902,1
3,0.1,326.278,294.779,1
4,0.1333,328.365,294.607,1
5,0.1667,330.448,294.386,1
6,0.2,332.526,294.116,1
7,0.2333,334.596,293.798,1
8,0.2667,336.659,293.432,1
9,0.3,338.712,293.018,1
10,0.3333,340.755,292.557,1
11,0.3667,342.788,292.048,1
12,0.4,344.807,291.493,1
13,0.4333,346.814,290.892,1
14,0.4667,348.806,290.245,1
15,0.5,350.782,289.553,1
16,0.5333,352.741,288.817,1
17,0.5667,354.683,288.037,1
18,0.6,356.606,287.215,1
19,0.6333,358.51,286.35,1
20,0.6667,360.392,285.443,1
21,0.7,362.252,284.496,1
22,0.7333,364.09,283.509,1
23,0.7667,365.904,282.483,1
24,0.8,367.693,281.419,1
25,0.8333,369.456,280.318,1
26,0.8667,371.192,279.181,1
27,0.9,372.901,278.008,1
28,0.9333,374.581,276.802,1
29,0.9667,376.231,275.563,1
30,1.0,377.851,274.292,1
31,1.0333,379.439,272.99,1
32,1.0667,380.996,271.659,1
33,1.1,382.519,270.299,1
34,1.1333,384.009,268.913,1
35,1.1667,385.464,267.5,1
36,1.2,386.883,266.063,1
37,1.2333,388.266,264.602,1
38,1.2667,389.612,263.12,1
39,1.3,390.921,261.616,1
40,1.3333,392.191,260.094,1
41,1.3667,393.422,258.553,1
42,1.4,394.613,256.996,1
43,1.4333,395.764,255.424,1
44,1.4667,396.874,253.837,1
45,1.5,397.942,252.239,1
46,1.5333,398.968,250.629,1
47,1.5667,399.952,249.01,1
48,1.6,400.891,247.383,1
49,1.6333,401.788,245.749,1
50,1.6667,402.639,244.11,1
51,1.7,403.447,242.468,1
52,1.7333,404.208,240.823,1
53,1.7667,404.925,239.177,1
54,1.8,405.595,237.532,1
55,1.8333,406.219,235.89,1
56,1.8667,406.796,234.251,1
57,1.9,407.327,232.617,1
58,1.9333,407.81,230.99,1
59,1.9667,408.245,229.371,1
60,2.0,408.633,227.761,1
61,2.0333,408.972,226.163,1
62,2.0667,409.264,224.576,1
63,2.1,409.507,223.004,1
64,2.1333,409.702,221.447,1
65,2.1667,409.848,219.906,1
66,2.2,409.945,218.384,1
67,2.2333,409.994,216.88,1
68,2.2667,409.994,215.398,1
69,2.3,409.945,213.937,1
70,2.3333,409.848,212.5,1
71,2.3667,409.702,211.087,1
72,2.4,409.507,209.701,1
73,2.4333,409.264,208.341,1
74,2.4667,408.972,207.01,1
75,2.5,408.633,205.708,1
76,2.5333,408.245,204.437,1
77,2.5667,407.81,203.198,1
78,2.6,407.327,201.992,1
79,2.6333,406.796,200.819,1
80,2.6667,406.219,199.682,1
81,2.7,405.595,198.581,1
82,2.7333,404.925,197.517,1
83,2.7667,404.208,196.491,1
84,2.8,403.447,195.504,1
85,2.8333,402.639,194.557,1
86,2.8667,401.788,193.65,1
87,2.9,400.891,192.785,1
88,2.9333,399.952,191.963,1
89,2.9667,398.968,191.183,1
90,3.0,397.942,190.447,1
91,3.0333,396.874,189.755,1
92,3.0667,395.764,189.108,1
93,3.1,394.613,188.507,1
94,3.1333,393.422,187.952,1
95,3.1667,392.191,187.443,1
96,3.2,390.921,186.982,1
97,3.2333,389.612,186.568,1
98,3.2667,388.266,186.202,1
99,3.3,386.883,185.884,1
100,3.3333,385.464,185.614,1
101,3.3667,384.009,185.393,1
102,3.4,382.519,185.221,1
103,3.4333,380.996,185.098,1
104,3.4667,379.439,185.025,1
105,3.5,377.851,185.0,1
106,3.5333,376.231,185.025,1
107,3.5667,374.581,185.098,1
108,3.6,372.901,185.221,1
109,3.6333,371.192,185.393,1
110,3.6667,369.456,185.614,1
111,3.7,367.693,185.884,1
112,3.7333,365.904,186.202,1
113,3.7667,364.09,186.568,1
114,3.8,362.252,186.982,1
115,3.8333,360.392,187.443,1
116,3.8667,358.51,187.952,1
117,3.9,356.606,188.507,1
118,3.9333,354.683,189.108,1
119,3.9667,352.741,189.755,1
120,4.0,350.782,190.447,1
121,4.0333,348.806,191.183,1
122,4.0667,346.814,191.963,1
123,4.1,344.807,192.785,1
124,4.1333,342.788,193.65,1
125,4.1667,340.755,194.557,1
126,4.2,338.712,195.504,1
127,4.2333,336.659,196.491,1
128,4.2667,334.596,197.517,1
129,4.3,332.526,198.581,1
130,4.3333,330.448,199.682,1
131,4.3667,328.365,200.819,1
132,4.4,326.278,201.992,1
133,4.4333,324.187,203.198,1
134,4.4667,322.094,204.437,1
135,4.5,320.0,205.708,1
136,4.5333,317.906,207.01,1
137,4.5667,315.813,208.341,1
138,4.6,313.722,209.701,1
139,4.6333,311.635,211.087,1
140,4.6667,309.552,212.5,1
141,4.7,307.474,213.937,1
142,4.7333,305.404,215.398,1
143,4.7667,303.341,216.88,1
144,4.8,301.288,218.384,1
145,4.8333,299.245,219.906,1
146,4.8667,297.212,221.447,1
147,4.9,295.193,223.004,1
148,4.9333,293.186,224.576,1
149,4.9667,291.194,226.163,1
150,5.0,289.218,227.761,1
151,5.0333,287.259,229.371,1
152,5.0667,285.317,230.99,1
153,5.1,283.394,232.617,1
154,5.1333,281.49,234.251,1
155,5.1667,279.608,235.89,1
156,5.2,277.748,237.532,1
157,5.2333,275.91,239.177,1
158,5.2667,274.096,240.823,1
159,5.3,272.307,242.468,1
160,5.3333,270.544,244.11,1
161,5.3667,268.808,245.749,1
162,5.4,267.099,247.383,1
163,5.4333,265.419,249.01,1
164,5.4667,263.769,250.629,1
165,5.5,262.149,252.239,1
166,5.5333,260.561,253.837,1
167,5.5667,259.004,255.424,1
168,5.6,257.481,256.996,1
169,5.6333,255.991,258.553,1
170,5.6667,254.536,260.094,1
171,5.7,253.117,261.616,1
172,5.7333,251.734,263.12,1
173,5.7667,250.388,264.602,1
174,5.8,249.079,266.063,1
175,5.8333,247.809,267.5,1
176,5.8667,246.578,268.913,1
177,5.9,245.387,270.299,1
178,5.9333,244.236,271.659,1
179,5.9667,243.126,272.99,1
180,6.0,242.058,274.292,1
181,6.0333,241.032,275.563,1
182,6.0667,240.048,276.802,1
183,6.1,239.109,278.008,1
184,6.1333,238.212,279.181,1
185,6.1667,237.361,280.318,1
186,6.2,236.553,281.419,1
187,6.2333,235.792,282.483,1
188,6.2667,235.075,283.509,1
189,6.3,234.405,284.496,1
190,6.3333,233.781,285.443,1
191,6.3667,233.204,286.35,1
192,6.4,232.673,287.215,1
193,6.4333,232.19,288.037,1
194,6.4667,231.755,288.817,1
195,6.5,231.367,289.553,1
196,6.5333,231.028,290.245,1
197,6.5667,230.736,290.892,1
198,6.6,230.493,291.493,1
199,6.6333,230.298,292.048,1
200,6.6667,230.152,292.557,1
201,6.7,230.055,293.018,1
202,6.7333,230.006,293.432,1
203,6.7667,230.006,293.798,1
204,6.8,230.055,294.116,1
205,6.8333,230.152,294.386,1
206,6.8667,230.298,294.607,1
207,6.9,230.493,294.779,1
208,6.9333,230.736,294.902,1
209,6.9667,231.028,294.975,1
210,7.0,231.367,295.0,1
211,7.0333,231.755,294.975,1
212,7.0667,232.19,294.902,1
213,7.1,232.673,294.779,1
214,7.1333,233.204,294.607,1
215,7.1667,233.781,294.386,1
216,7.2,234.405,294.116,1
217,7.2333,235.075,293.798,1
218,7.2667,235.792,293.432,1
219,7.3,236.553,293.018,1
220,7.3333,237.361,292.557,1
221,7.3667,238.212,292.048,1
222,7.4,239.109,291.493,1
223,7.4333,240.048,290.892,1
224,7.4667,241.032,290.245,1
225,7.5,242.058,289.553,1
226,7.5333,243.126,288.817,1
227,7.5667,244.236,288.037,1
228,7.6,245.387,287.215,1
229,7.6333,246.578,286.35,1
230,7.6667,247.809,285.443,1
231,7.7,249.079,284.496,1
232,7.7333,250.388,283.509,1
