frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,240.0,1
1,0.0333,320.0,240.0,1
2,0.0667,320.0,240.0,1
3,0.1,320.0,240.0,1
4,0.1333,320.0,240.0,1
5,0.1667,320.0,240.0,1
6,0.2,320.0,240.0,1
7,0.2333,320.0,240.0,1
8,0.2667,320.0,240.0,1
9,0.3,320.0,240.0,1
10,0.3333,320.0,240.0,1
11,0.3667,320.0,240.0,1
12,0.4,320.0,240.0,1
13,0.4333,320.0,240.0,1
14,0.4667,320.0,240.0,1
15,0.5,320.0,240.0,1
16,0.5333,320.0,240.0,1
17,0.5667,320.0,240.0,1
18,0.6,320.0,240.0,1
19,0.6333,320.0,240.0,1
20,0.6667,320.0,240.0,1
21,0.7,320.0,240.0,1
22,0.7333,320.0,240.0,1
23,0.7667,320.0,240.0,1
24,0.8,320.0,240.0,1
25,0.8333,320.0,240.0,1
26,0.8667,320.0,240.0,1
27,0.9,320.0,240.0,1
28,0.9333,320.0,240.0,1
29,0.9667,320.0,240.0,1
30,1.0,320.0,240.0,1
31,1.0333,320.0,240.0,1
32,1.0667,320.0,240.0,1
33,1.1,320.0,240.0,1
34,1.1333,320.0,240.0,1
35,1.1667,320.0,240.0,1
36,1.2,320.0,240.0,1
37,1.2333,320.0,240.0,1
38,1.2667,320.0,240.0,1
39,1.3,320.0,240.0,1
40,1.3333,320.0,240.0,1
41,1.3667,320.0,240.0,1
42,1.4,320.0,240.0,1
43,1.4333,320.0,240.0,1
44,1.4667,320.0,240.0,1
45,1.5,320.0,240.0,1
46,1.5333,320.0,240.0,1
47,1.5667,320.0,240.0,1
48,1.6,320.0,240.0,1
49,1.6333,320.0,240.0,1
50,1.6667,320.0,240.0,1
51,1.7,320.0,240.0,1
52,1.7333,320.0,240.0,1
53,1.7667,320.0,240.0,1
54,1.8,320.0,240.0,1
55,1.8333,320.0,240.0,1
56,1.8667,320.0,240.0,1
57,1.9,320.0,240.0,1
58,1.9333,320.0,240.0,1
59,1.9667,320.0,240.0,1
60,2.0,320.02,240.01,1
61,2.0333,320.06,240.03,1
62,2.0667,320.12,240.06,1
63,2.1,320.2,240.1,1
64,2.1333,320.3,240.15,1
65,2.1667,320.42,240.21,1
66,2.2,320.56,240.28,1
67,2.2333,320.72,240.36,1
68,2.2667,320.9,240.45,1
69,2.3,321.1,240.55,1
70,2.3333,321.32,240.66,1
71,2.3667,321.56,240.78,1
72,2.4,321.82,240.91,1
73,2.4333,322.1,241.05,1
74,2.4667,322.4,241.2,1
75,2.5,322.72,241.36,1
76,2.5333,323.06,241.53,1
77,2.5667,323.42,241.71,1
78,2.6,323.8,241.9,1
79,2.6333,324.2,242.1,1
80,2.6667,324.62,242.31,1
81,2.7,325.06,242.53,1
82,2.7333,325.52,242.76,1
83,2.7667,326.0,243.0,1
84,2.8,326.5,243.25,1
85,2.8333,327.02,243.51,1
86,2.8667,327.56,243.78,1
87,2.9,328.12,244.06,1
88,2.9333,328.7,244.35,1
89,2.9667,329.3,244.65,1
90,3.0,329.92,244.96,1
91,3.0333,330.56,245.28,1
92,3.0667,331.22,245.61,1
93,3.1,331.9,245.95,1
94,3.1333,332.6,246.3,1
95,3.1667,333.32,246.66,1
96,3.2,334.06,247.03,1
97,3.2333,334.82,247.41,1
98,3.2667,335.6,247.8,1
99,3.3,336.4,248.2,1
100,3.3333,337.22,248.61,1
101,3.3667,338.06,249.03,1
102,3.4,338.92,249.46,1
103,3.4333,339.8,249.9,1
104,3.4667,340.7,250.35,1
105,3.5,341.62,250.81,1
106,3.5333,342.56,251.28,1
107,3.5667,343.52,251.76,1
108,3.6,344.5,252.25,1
109,3.6333,345.5,252.75,1
110,3.6667,346.52,253.26,1
111,3.7,347.56,253.78,1
112,3.7333,348.62,254.31,1
113,3.7667,349.7,254.85,1
114,3.8,350.8,255.4,1
115,3.8333,351.92,255.96,1
116,3.8667,353.06,256.53,1
117,3.9,354.22,257.11,1
118,3.9333,355.4,257.7,1
119,3.9667,356.6,258.3,1
120,4.0,357.8,258.9,1
121,4.0333,359.0,259.5,1
122,4.0667,360.2,260.1,1
123,4.1,361.4,260.7,1
124,4.1333,362.6,261.3,1
125,4.1667,363.8,261.9,1
126,4.2,365.0,262.5,1
127,4.2333,366.2,263.1,1
128,4.2667,367.4,263.7,1
129,4.3,368.6,264.3,1
130,4.3333,369.8,264.9,1
131,4.3667,371.0,265.5,1
132,4.4,372.2,266.1,1
133,4.4333,373.4,266.7,1
134,4.4667,374.6,267.3,1
135,4.5,375.8,267.9,1
136,4.5333,377.0,268.5,1
137,4.5667,378.2,269.1,1
138,4.6,379.4,269.7,1
139,4.6333,380.6,270.3,1
140,4.6667,381.8,270.9,1
141,4.7,383.0,271.5,1
142,4.7333,384.2,272.1,1
143,4.7667,385.4,272.7,1
144,4.8,386.6,273.3,1
145,4.8333,387.8,273.9,1
146,4.8667,389.0,274.5,1
147,4.9,390.2,275.1,1
148,4.9333,391.4,275.7,1
149,4.9667,392.6,276.3,1
150,5.0,393.8,276.9,1
151,5.0333,395.0,277.5,1
152,5.0667,396.2,278.1,1
153,5.1,397.4,278.7,1
154,5.1333,398.6,279.3,1
155,5.1667,399.8,279.9,1
156,5.2,401.0,280.5,1
157,5.2333,402.2,281.1,1
158,5.2667,403.4,281.7,1
159,5.3,404.6,282.3,1
160,5.3333,405.8,282.9,1
161,5.3667,407.0,283.5,1
162,5.4,408.2,284.1,1
163,5.4333,409.4,284.7,1
164,5.4667,410.6,285.3,1
165,5.5,411.8,285.9,1
166,5.5333,413.0,286.5,1
167,5.5667,414.2,287.1,1
168,5.6,415.4,287.7,1
169,5.6333,416.6,288.3,1
170,5.6667,417.8,288.9,1
171,5.7,419.0,289.5,1
172,5.7333,420.2,290.1,1
173,5.7667,421.4,290.7,1
174,5.8,422.6,291.3,1
175,5.8333,423.8,291.9,1
176,5.8667,425.0,292.5,1
177,5.9,426.2,293.1,1
178,5.9333,427.4,293.7,1
179,5.9667,428.6,294.3,1
180,6.0,429.783,294.89,1
181,6.0333,430.95,295.47,1
182,6.0667,432.1,296.04,1
183,6.1,433.233,296.6,1
184,6.1333,434.35,297.15,1
185,6.1667,435.45,297.69,1
186,6.2,436.533,298.22,1
187,6.2333,437.6,298.74,1
188,6.2667,438.65,299.25,1
189,6.3,439.683,299.75,1
190,6.3333,440.7,300.24,1
191,6.3667,441.7,300.72,1
192,6.4,442.683,301.19,1
193,6.4333,443.65,301.65,1
194,6.4667,444.6,302.1,1
195,6.5,445.533,302.54,1
196,6.5333,446.45,302.97,1
197,6.5667,447.35,303.39,1
198,6.6,448.233,303.8,1
199,6.6333,449.1,304.2,1
200,6.6667,449.95,304.59,1
201,6.7,450.783,304.97,1
202,6.7333,451.6,305.34,1
203,6.7667,452.4,305.7,1
204,6.8,453.183,306.05,1
205,6.8333,453.95,306.39,1
206,6.8667,454.7,306.72,1
207,6.9,455.433,307.04,1
208,6.9333,456.15,307.35,1
209,6.9667,456.85,307.65,1
210,7.0,457.533,307.94,1
211,7.0333,458.2,308.22,1
212,7.0667,458.85,308.49,1
213,7.1,459.483,308.75,1
214,7.1333,460.1,309.0,1
215,7.1667,460.7,309.24,1
216,7.2,461.283,309.47,1
217,7.2333,461.85,309.69,1
218,7.2667,462.4,309.9,1
219,7.3,462.933,310.1,1
220,7.3333,463.45,310.29,1
221,7.3667,463.95,310.47,1
222,7.4,464.433,310.64,1
223,7.4333,464.9,310.8,1
224,7.4667,465.35,310.95,1
225,7.5,465.783,311.09,1
226,7.5333,466.2,311.22,1
227,7.5667,466.6,311.34,1
228,7.6,466.983,311.45,1
229,7.6333,467.35,311.55,1
230,7.6667,467.7,311.64,1
231,7.7,468.033,311.72,1
232,7.7333,468.35,311.79,1
233,7.7667,468.65,311.85,1
234,7.8,468.933,311.9,1
235,7.8333,469.2,311.94,1
236,7.8667,469.45,311.97,1
237,7.9,469.683,311.99,1
238,7.9333,469.9,312.0,1
239,7.9667,470.1,312.0,1
240,8.0,470.294,312.0,1
241,8.0333,470.483,312.0,1
242,8.0667,470.667,312.0,1
243,8.1,470.844,312.0,1
244,8.1333,471.017,312.0,1
245,8.1667,471.183,312.0,1
246,8.2,471.344,312.0,1
247,8.2333,471.5,312.0,1
248,8.2667,471.65,312.0,1
249,8.3,471.794,312.0,1
250,8.3333,471.933,312.0,1
251,8.3667,472.067,312.0,1
252,8.4,472.194,312.0,1
253,8.4333,472.317,312.0,1
254,8.4667,472.433,312.0,1
255,8.5,472.544,312.0,1
256,8.5333,472.65,312.0,1
257,8.5667,472.75,312.0,1
258,8.6,472.844,312.0,1
259,8.6333,472.933,312.0,1
260,8.6667,473.017,312.0,1
261,8.7,473.094,312.0,1
262,8.7333,473.167,312.0,1
263,8.7667,473.233,312.0,1
264,8.8,473.294,312.0,1
265,8.8333,473.35,312.0,1
266,8.8667,473.4,312.0,1
267,8.9,473.444,312.0,1
268,8.9333,473.483,312.0,1
269,8.9667,473.517,312.0,1
270,9.0,473.544,312.0,1
271,9.0333,473.567,312.0,1
272,9.0667,473.583,312.0,1
273,9.1,473.594,312.0,1
274,9.1333,473.6,312.0,1
275,9.1667,473.6,312.0,1
276,9.2,473.6,312.0,1
277,9.2333,473.6,312.0,1
278,9.2667,473.6,312.0,1
279,9.3,473.6,312.0,1
280,9.3333,473.6,312.0,1
281,9.3667,473.6,312.0,1
282,9.4,473.6,312.0,1
283,9.4333,473.6,312.0,1
284,9.4667,473.6,312.0,1
285,9.5,473.6,312.0,1
286,9.5333,473.6,312.0,1
287,9.5667,473.6,312.0,1
288,9.6,473.6,312.0,1
289,9.6333,473.6,312.0,1
290,9.6667,473.6,312.0,1
291,9.7,473.6,312.0,1
292,9.7333,473.6,312.0,1
293,9.7667,473.6,312.0,1
294,9.8,473.6,312.0,1
295,9.8333,473.6,312.0,1
296,9.8667,473.6,312.0,1
297,9.9,473.6,312.0,1
298,9.9333,473.6,312.0,1
299,9.9667,473.6,312.0,1
