frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.001,271.358,1
1,0.0333,320.541,268.655,1
2,0.0667,320.848,268.086,1
3,0.1,321.643,272.049,1
4,0.1333,321.157,269.569,1
5,0.1667,322.858,270.178,1
6,0.2,323.266,268.337,1
7,0.2333,323.973,270.929,1
8,0.2667,322.917,270.063,1
9,0.3,322.424,267.629,1
10,0.3333,322.67,269.015,1
11,0.3667,323.88,271.013,1
12,0.4,326.455,269.457,1
13,0.4333,324.112,268.358,1
14,0.4667,327.592,269.866,1
15,0.5,325.986,269.371,1
16,0.5333,326.818,268.639,1
17,0.5667,329.781,267.793,1
18,0.6,329.33,270.379,1
19,0.6333,329.529,270.069,1
20,0.6667,330.875,268.768,1
21,0.7,329.437,268.541,1
22,0.7333,332.702,267.908,1
23,0.7667,332.612,269.27,1
24,0.8,331.665,270.765,1
25,0.8333,334.202,267.101,1
26,0.8667,333.882,269.676,1
27,0.9,333.723,269.81,1
28,0.9333,334.025,268.507,1
29,0.9667,336.332,267.224,1
30,1.0,335.695,268.635,1
31,1.0333,336.447,266.371,1
32,1.0667,336.095,266.993,1
33,1.1,338.015,269.649,1
34,1.1333,335.494,267.075,1
35,1.1667,338.348,264.956,1
36,1.2,337.85,266.816,1
37,1.2333,340.747,268.284,1
38,1.2667,339.33,267.415,1
39,1.3,339.557,268.133,1
40,1.3333,339.477,265.945,1
41,1.3667,340.891,267.439,1
42,1.4,341.052,265.125,1
43,1.4333,342.094,265.137,1
44,1.4667,343.978,267.065,1
45,1.5,342.671,267.183,1
46,1.5333,342.411,267.195,1
47,1.5667,343.275,265.671,1
48,1.6,342.539,265.831,1
49,1.6333,342.866,263.745,1
50,1.6667,344.981,263.485,1
51,1.7,345.649,266.906,1
52,1.7333,344.557,264.668,1
53,1.7667,346.248,265.26,1
54,1.8,346.58,263.55,1
55,1.8333,348.421,264.488,1
56,1.8667,346.776,264.105,1
57,1.9,348.147,262.834,1
58,1.9333,348.501,261.678,1
59,1.9667,349.784,263.162,1
60,2.0,349.496,263.272,1
61,2.0333,350.015,260.084,1
62,2.0667,349.219,262.246,1
63,2.1,348.091,263.769,1
64,2.1333,348.616,263.313,1
65,2.1667,350.105,262.556,1
66,2.2,352.028,259.262,1
67,2.2333,354.118,263.261,1
68,2.2667,352.938,261.503,1
69,2.3,352.874,259.011,1
70,2.3333,354.428,259.436,1
71,2.3667,353.436,260.313,1
72,2.4,353.476,258.514,1
73,2.4333,356.462,258.975,1
74,2.4667,356.489,259.693,1
75,2.5,354.522,259.292,1
76,2.5333,354.705,259.152,1
77,2.5667,355.291,257.73,1
78,2.6,354.794,257.475,1
79,2.6333,359.136,258.321,1
80,2.6667,356.239,257.82,1
81,2.7,359.194,255.23,1
82,2.7333,357.253,257.334,1
83,2.7667,355.73,258.14,1
84,2.8,358.498,256.388,1
85,2.8333,358.301,256.831,1
86,2.8667,358.884,256.367,1
87,2.9,358.178,254.897,1
88,2.9333,361.083,254.276,1
89,2.9667,360.144,254.987,1
90,3.0,359.921,255.39,1
91,3.0333,361.859,254.061,1
92,3.0667,361.222,253.702,1
93,3.1,362.766,255.36,1
94,3.1333,361.759,253.445,1
95,3.1667,359.929,254.403,1
96,3.2,363.376,252.509,1
97,3.2333,363.491,253.969,1
98,3.2667,364.112,254.368,1
99,3.3,362.49,253.361,1
100,3.3333,361.459,252.416,1
101,3.3667,363.807,253.542,1
102,3.4,366.07,252.993,1
103,3.4333,363.037,248.234,1
104,3.4667,365.637,249.497,1
105,3.5,364.535,251.668,1
106,3.5333,362.467,247.527,1
107,3.5667,364.981,249.002,1
108,3.6,364.946,249.29,1
109,3.6333,364.776,248.055,1
110,3.6667,365.824,246.938,1
111,3.7,363.916,248.217,1
112,3.7333,365.673,249.163,1
113,3.7667,364.76,247.001,1
114,3.8,365.29,245.72,1
115,3.8333,367.26,245.779,1
116,3.8667,367.638,247.332,1
117,3.9,369.474,245.025,1
118,3.9333,367.938,245.072,1
119,3.9667,367.025,243.539,1
120,4.0,367.001,247.101,1
121,4.0333,367.959,244.689,1
