frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,60.0,80.0,1
1,0.0333,62.889,81.778,1
2,0.0667,65.778,83.556,1
3,0.1,68.667,85.333,1
4,0.1333,71.556,87.111,1
5,0.1667,74.444,88.889,1
6,0.2,77.333,90.667,1
7,0.2333,80.222,92.444,1
8,0.2667,83.111,94.222,1
9,0.3,86.0,96.0,1
10,0.3333,88.889,97.778,1
11,0.3667,91.778,99.556,1
12,0.4,94.667,101.333,1
13,0.4333,97.556,103.111,1
14,0.4667,100.444,104.889,1
15,0.5,103.333,106.667,1
16,0.5333,106.222,108.444,1
17,0.5667,109.111,110.222,1
18,0.6,112.0,112.0,1
19,0.6333,114.889,113.778,1
20,0.6667,117.778,115.556,1
21,0.7,120.667,117.333,1
22,0.7333,123.556,119.111,1
23,0.7667,126.444,120.889,1
24,0.8,129.333,122.667,1
25,0.8333,132.222,124.444,1
26,0.8667,135.111,126.222,1
27,0.9,138.0,128.0,1
28,0.9333,140.889,129.778,1
29,0.9667,143.778,131.556,1
30,1.0,146.667,133.333,1
31,1.0333,149.556,135.111,1
32,1.0667,152.444,136.889,1
33,1.1,155.333,138.667,1
34,1.1333,158.222,140.444,1
35,1.1667,161.111,142.222,1
36,1.2,164.0,144.0,1
37,1.2333,166.889,145.778,1
38,1.2667,169.778,147.556,1
39,1.3,172.667,149.333,1
40,1.3333,175.556,151.111,1
41,1.3667,178.444,152.889,1
42,1.4,181.333,154.667,1
43,1.4333,184.222,156.444,1
44,1.4667,187.111,158.222,1
45,1.5,190.0,160.0,1
46,1.5333,192.889,161.778,1
47,1.5667,195.778,163.556,1
48,1.6,198.667,165.333,1
49,1.6333,201.556,167.111,1
50,1.6667,204.444,168.889,1
51,1.7,207.333,170.667,1
52,1.7333,210.222,172.444,1
53,1.7667,213.111,174.222,1
54,1.8,216.0,176.0,1
55,1.8333,218.889,177.778,1
56,1.8667,221.778,179.556,1
57,1.9,224.667,181.333,1
58,1.9333,227.556,183.111,1
59,1.9667,230.444,184.889,1
60,2.0,233.333,186.667,1
61,2.0333,236.222,188.444,1
62,2.0667,239.111,190.222,1
63,2.1,242.0,192.0,1
64,2.1333,244.889,193.778,1
65,2.1667,247.778,195.556,1
66,2.2,250.667,197.333,1
67,2.2333,253.556,199.111,1
68,2.2667,256.444,200.889,1
69,2.3,259.333,202.667,1
70,2.3333,262.222,204.444,1
71,2.3667,265.111,206.222,1
72,2.4,268.0,208.0,1
73,2.4333,270.889,209.778,1
74,2.4667,273.778,211.556,1
75,2.5,276.667,213.333,1
76,2.5333,279.556,215.111,1
77,2.5667,282.444,216.889,1
78,2.6,285.333,218.667,1
79,2.6333,288.222,220.444,1
80,2.6667,291.111,222.222,1
81,2.7,294.0,224.0,1
82,2.7333,296.889,225.778,1
83,2.7667,299.778,227.556,1
84,2.8,302.667,229.333,1
85,2.8333,305.556,231.111,1
86,2.8667,308.444,232.889,1
87,2.9,311.333,234.667,1
88,2.9333,314.222,236.444,1
89,2.9667,317.111,238.222,1
90,3.0,320.0,310.0,1
91,3.0333,324.606,309.939,1
92,3.0667,329.205,309.755,1
93,3.1,333.787,309.448,1
94,3.1333,338.345,309.02,1
95,3.1667,342.87,308.47,1
96,3.2,347.356,307.801,1
97,3.2333,351.793,307.012,1
98,3.2667,356.175,306.106,1
99,3.3,360.494,305.084,1
100,3.3333,364.741,303.948,1
101,3.3667,368.91,302.7,1
102,3.4,372.993,301.341,1
103,3.4333,376.983,299.875,1
104,3.4667,380.873,298.304,1
105,3.5,384.656,296.631,1
106,3.5333,388.326,294.859,1
107,3.5667,391.876,292.99,1
108,3.6,395.3,291.028,1
109,3.6333,398.592,288.976,1
110,3.6667,401.746,286.839,1
111,3.7,404.756,284.62,1
112,3.7333,407.618,282.322,1
113,3.7667,410.326,279.95,1
114,3.8,412.876,277.508,1
115,3.8333,415.263,275.0,1
116,3.8667,417.482,272.431,1
117,3.9,419.531,269.805,1
118,3.9333,421.405,267.126,1
119,3.9667,423.101,264.4,1
120,4.0,424.616,261.631,1
121,4.0333,425.948,258.824,1
122,4.0667,427.094,255.985,1
123,4.1,428.052,253.117,1
124,4.1333,428.82,250.226,1
125,4.1667,429.397,247.317,1
126,4.2,429.783,244.395,1
127,4.2333,429.976,241.466,1
128,4.2667,429.976,238.534,1
129,4.3,429.783,235.605,1
130,4.3333,429.397,232.683,1
131,4.3667,428.82,229.774,1
132,4.4,428.052,226.883,1
133,4.4333,427.094,224.015,1
134,4.4667,425.948,221.176,1
135,4.5,424.616,218.369,1
136,4.5333,423.101,215.6,1
137,4.5667,421.405,212.874,1
138,4.6,419.531,210.195,1
139,4.6333,417.482,207.569,1
140,4.6667,415.263,205.0,1
141,4.7,412.876,202.492,1
142,4.7333,410.326,200.05,1
143,4.7667,407.618,197.678,1
144,4.8,404.756,195.38,1
145,4.8333,401.746,193.161,1
146,4.8667,398.592,191.024,1
147,4.9,395.3,188.972,1
148,4.9333,391.876,187.01,1
149,4.9667,388.326,185.141,1
150,5.0,384.656,183.369,1
151,5.0333,380.873,181.696,1
152,5.0667,376.983,180.125,1
153,5.1,372.993,178.659,1
154,5.1333,368.91,177.3,1
155,5.1667,364.741,176.052,1
156,5.2,360.494,174.916,1
157,5.2333,356.175,173.894,1
158,5.2667,351.793,172.988,1
159,5.3,347.356,172.199,1
160,5.3333,342.87,171.53,1
161,5.3667,338.345,170.98,1
162,5.4,333.787,170.552,1
163,5.4333,329.205,170.245,1
164,5.4667,324.606,170.061,1
165,5.5,320.0,170.0,1
166,5.5333,315.394,170.061,1
167,5.5667,310.795,170.245,1
168,5.6,306.213,170.552,1
169,5.6333,301.655,170.98,1
170,5.6667,297.13,171.53,1
171,5.7,292.644,172.199,1
172,5.7333,288.207,172.988,1
173,5.7667,283.825,173.894,1
174,5.8,279.506,174.916,1
175,5.8333,275.259,176.052,1
176,5.8667,271.09,177.3,1
177,5.9,267.007,178.659,1
178,5.9333,263.017,180.125,1
179,5.9667,259.127,181.696,1
180,6.0,255.344,183.369,1
181,6.0333,251.674,185.141,1
182,6.0667,248.124,187.01,1
183,6.1,244.7,188.972,1
184,6.1333,241.408,191.024,1
185,6.1667,238.254,193.161,1
186,6.2,235.244,195.38,1
187,6.2333,232.382,197.678,1
188,6.2667,229.674,200.05,1
189,6.3,227.124,202.492,1
190,6.3333,224.737,205.0,1
191,6.3667,222.518,207.569,1
192,6.4,220.469,210.195,1
193,6.4333,218.595,212.874,1
194,6.4667,216.899,215.6,1
195,6.5,215.384,218.369,1
196,6.5333,214.052,221.176,1
197,6.5667,212.906,224.015,1
198,6.6,211.948,226.883,1
199,6.6333,211.18,229.774,1
200,6.6667,210.603,232.683,1
201,6.7,210.217,235.605,1
202,6.7333,210.024,238.534,1
203,6.7667,210.024,241.466,1
204,6.8,210.217,244.395,1
205,6.8333,210.603,247.317,1
206,6.8667,211.18,250.226,1
207,6.9,211.948,253.117,1
208,6.9333,212.906,255.985,1
209,6.9667,214.052,258.824,1
210,7.0,215.384,261.631,1
211,7.0333,216.899,264.4,1
212,7.0667,218.595,267.126,1
213,7.1,220.469,269.805,1
214,7.1333,222.518,272.431,1
215,7.1667,224.737,275.0,1
216,7.2,227.124,277.508,1
217,7.2333,229.674,279.95,1
218,7.2667,232.382,282.322,1
219,7.3,235.244,284.62,1
220,7.3333,238.254,286.839,1
221,7.3667,241.408,288.976,1
222,7.4,244.7,291.028,1
223,7.4333,248.124,292.99,1
224,7.4667,251.674,294.859,1
225,7.5,255.344,296.631,1
226,7.5333,259.127,298.304,1
227,7.5667,263.017,299.875,1
228,7.6,267.007,301.341,1
229,7.6333,271.09,302.7,1
230,7.6667,275.259,303.948,1
231,7.7,279.506,305.084,1
232,7.7333,283.825,306.106,1
233,7.7667,288.207,307.012,1
234,7.8,292.644,307.801,1
235,7.8333,297.13,308.47,1
236,7.8667,301.655,309.02,1
237,7.9,306.213,309.448,1
238,7.9333,310.795,309.755,1
239,7.9667,315.394,309.939,1
240,8.0,320.0,310.0,0
241,8.0333,324.606,309.939,0
242,8.0667,329.205,309.755,0
243,8.1,333.787,309.448,0
244,8.1333,338.345,309.02,0
245,8.1667,342.87,308.47,0
246,8.2,347.356,307.801,0
247,8.2333,351.793,307.012,0
248,8.2667,356.175,306.106,0
249,8.3,360.494,305.084,0
250,8.3333,364.741,303.948,0
251,8.3667,368.91,302.7,0
252,8.4,372.993,301.341,0
253,8.4333,376.983,299.875,0
254,8.4667,380.873,298.304,0
255,8.5,384.656,296.631,0
256,8.5333,388.326,294.859,0
257,8.5667,391.876,292.99,0
258,8.6,395.3,291.028,0
259,8.6333,398.592,288.976,0
260,8.6667,401.746,286.839,0
261,8.7,404.756,284.62,0
262,8.7333,407.618,282.322,0
263,8.7667,410.326,279.95,0
264,8.8,412.876,277.508,0
265,8.8333,415.263,275.0,0
266,8.8667,417.482,272.431,0
267,8.9,419.531,269.805,0
268,8.9333,421.405,267.126,0
269,8.9667,423.101,264.4,0
270,9.0,424.616,261.631,0
271,9.0333,425.948,258.824,0
272,9.0667,427.094,255.985,0
273,9.1,428.052,253.117,0
274,9.1333,428.82,250.226,0
275,9.1667,429.397,247.317,0
276,9.2,429.783,244.395,0
277,9.2333,429.976,241.466,0
278,9.2667,429.976,238.534,0
279,9.3,429.783,235.605,0
280,9.3333,429.397,232.683,0
281,9.3667,428.82,229.774,0
282,9.4,428.052,226.883,0
283,9.4333,427.094,224.015,0
284,9.4667,425.948,221.176,0
285,9.5,424.616,218.369,0
286,9.5333,423.101,215.6,0
287,9.5667,421.405,212.874,0
288,9.6,419.531,210.195,0
289,9.6333,417.482,207.569,0
290,9.6667,415.263,205.0,0
291,9.7,412.876,202.492,0
292,9.7333,410.326,200.05,0
293,9.7667,407.618,197.678,0
294,9.8,404.756,195.38,0
295,9.8333,401.746,193.161,0
296,9.8667,398.592,191.024,0
297,9.9,395.3,188.972,0
298,9.9333,391.876,187.01,0
299,9.9667,388.326,185.141,0
300,10.0,230.0,180.0,1
301,10.0333,231.333,180.833,1
302,10.0667,232.667,181.667,1
303,10.1,234.0,182.5,1
304,10.1333,235.333,183.333,1
305,10.1667,236.667,184.167,1
306,10.2,238.0,185.0,1
307,10.2333,239.333,185.833,1
308,10.2667,240.667,186.667,1
309,10.3,242.0,187.5,1
310,10.3333,243.333,188.333,1
