frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,630.0,240.0,1
1,0.0333,629.682,252.025,1
2,0.0667,628.73,263.943,1
3,0.1,627.154,275.65,1
4,0.1333,624.97,287.044,1
5,0.1667,622.199,298.03,1
6,0.2,618.87,308.522,1
7,0.2333,615.012,318.439,1
8,0.2667,610.661,327.714,1
9,0.3,605.856,336.285,1
10,0.3333,600.638,344.108,1
11,0.3667,595.047,351.143,1
12,0.4,589.128,357.366,1
13,0.4333,582.922,362.762,1
14,0.4667,576.472,367.326,1
15,0.5,569.818,371.061,1
16,0.5333,562.999,373.981,1
17,0.5667,556.052,376.106,1
18,0.6,549.011,377.461,1
19,0.6333,541.909,378.081,1
20,0.6667,534.774,378.0,1
21,0.7,527.634,377.26,1
22,0.7333,520.51,375.904,1
23,0.7667,513.425,373.977,1
24,0.8,506.397,371.526,1
25,0.8333,499.441,368.597,1
26,0.8667,492.57,365.238,1
27,0.9,485.796,361.495,1
28,0.9333,479.128,357.416,1
29,0.9667,472.572,353.044,1
30,1.0,466.135,348.423,1
31,1.0333,459.821,343.596,1
32,1.0667,453.631,338.602,1
33,1.1,447.567,333.481,1
34,1.1333,441.63,328.27,1
35,1.1667,435.819,323.002,1
36,1.2,430.131,317.711,1
37,1.2333,424.566,312.428,1
38,1.2667,419.12,307.183,1
39,1.3,413.79,302.002,1
40,1.3333,408.571,296.91,1
41,1.3667,403.461,291.933,1
42,1.4,398.453,287.091,1
43,1.4333,393.545,282.405,1
44,1.4667,388.729,277.895,1
45,1.5,384.002,273.577,1
46,1.5333,379.359,269.469,1
47,1.5667,374.793,265.584,1
48,1.6,370.299,261.935,1
49,1.6333,365.873,258.536,1
50,1.6667,361.507,255.398,1
51,1.7,357.198,252.529,1
52,1.7333,352.938,249.94,1
53,1.7667,348.723,247.637,1
54,1.8,344.548,245.628,1
55,1.8333,340.405,243.918,1
56,1.8667,336.291,242.513,1
57,1.9,332.199,241.416,1
58,1.9333,328.123,240.63,1
59,1.9667,324.059,240.158,1
60,2.0,320.0,240.0,1
61,2.0333,315.941,240.158,1
62,2.0667,311.877,240.63,1
63,2.1,307.801,241.416,1
64,2.1333,303.709,242.513,1
65,2.1667,299.595,243.918,1
66,2.2,295.452,245.628,1
67,2.2333,291.277,247.637,1
68,2.2667,287.062,249.94,1
69,2.3,282.802,252.529,1
70,2.3333,278.493,255.398,1
71,2.3667,274.127,258.536,1
72,2.4,269.701,261.935,1
73,2.4333,265.207,265.584,1
74,2.4667,260.641,269.469,1
75,2.5,255.998,273.577,1
76,2.5333,251.271,277.895,1
77,2.5667,246.455,282.405,1
78,2.6,241.547,287.091,1
79,2.6333,236.539,291.933,1
80,2.6667,231.429,296.91,1
81,2.7,226.21,302.002,1
82,2.7333,220.88,307.183,1
83,2.7667,215.434,312.428,1
84,2.8,209.869,317.711,1
85,2.8333,204.181,323.002,1
86,2.8667,198.37,328.27,1
87,2.9,192.433,333.481,1
88,2.9333,186.369,338.602,1
89,2.9667,180.179,343.596,1
90,3.0,173.865,348.423,1
91,3.0333,167.428,353.044,1
92,3.0667,160.872,357.416,1
93,3.1,154.204,361.495,1
94,3.1333,147.43,365.238,1
95,3.1667,140.559,368.597,1
96,3.2,133.603,371.526,1
97,3.2333,126.575,373.977,1
98,3.2667,119.49,375.904,1
99,3.3,112.366,377.26,1
100,3.3333,105.226,378.0,1
101,3.3667,98.091,378.081,1
102,3.4,90.989,377.461,1
103,3.4333,83.948,376.106,1
104,3.4667,77.001,373.981,1
105,3.5,70.182,371.061,1
106,3.5333,63.528,367.326,1
107,3.5667,57.078,362.762,1
108,3.6,50.872,357.366,1
109,3.6333,44.953,351.143,1
110,3.6667,39.362,344.108,1
111,3.7,34.144,336.285,1
112,3.7333,29.339,327.714,1
113,3.7667,24.988,318.439,1
114,3.8,21.13,308.522,1
115,3.8333,17.801,298.03,1
116,3.8667,15.03,287.044,1
117,3.9,12.846,275.65,1
118,3.9333,11.27,263.943,1
119,3.9667,10.318,252.025,1
120,4.0,10.0,240.0,1
121,4.0333,10.318,227.975,1
122,4.0667,11.27,216.057,1
123,4.1,12.846,204.35,1
124,4.1333,15.03,192.956,1
125,4.1667,17.801,181.97,1
126,4.2,21.13,171.478,1
127,4.2333,24.988,161.561,1
128,4.2667,29.339,152.286,1
129,4.3,34.144,143.715,1
130,4.3333,39.362,135.892,1
131,4.3667,44.953,128.857,1
132,4.4,50.872,122.634,1
133,4.4333,57.078,117.238,1
134,4.4667,63.528,112.674,1
135,4.5,70.182,108.939,1
136,4.5333,77.001,106.019,1
137,4.5667,83.948,103.894,1
138,4.6,90.989,102.539,1
139,4.6333,98.091,101.919,1
140,4.6667,105.226,102.0,1
141,4.7,112.366,102.74,1
142,4.7333,119.49,104.096,1
143,4.7667,126.575,106.023,1
144,4.8,133.603,108.474,1
145,4.8333,140.559,111.403,1
146,4.8667,147.43,114.762,1
