frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,360.091,304.989,1
1,0.0333,362.603,308.572,1
2,0.0667,364.254,311.624,1
3,0.1,367.071,311.185,1
4,0.1333,369.689,315.283,1
5,0.1667,373.386,318.123,1
6,0.2,375.244,319.1,1
7,0.2333,377.333,321.19,1
8,0.2667,376.47,320.99,1
9,0.3,380.207,321.435,1
10,0.3333,381.482,322.688,1
11,0.3667,382.161,324.36,1
12,0.4,383.776,323.142,1
13,0.4333,381.944,326.115,1
14,0.4667,384.624,323.831,1
15,0.5,385.607,323.985,1
16,0.5333,384.479,321.891,1
17,0.5667,387.819,322.745,1
18,0.6,382.882,321.743,1
19,0.6333,386.361,319.747,1
20,0.6667,384.6,317.955,1
21,0.7,383.66,315.111,1
22,0.7333,385.439,313.301,1
23,0.7667,383.189,309.828,1
24,0.8,385.05,305.817,1
25,0.8333,383.311,302.072,1
26,0.8667,382.964,299.149,1
27,0.9,382.503,294.66,1
28,0.9333,380.486,289.883,1
29,0.9667,379.37,285.399,1
30,1.0,379.826,282.621,1
31,1.0333,381.333,277.956,1
32,1.0667,380.15,272.818,1
33,1.1,376.861,267.404,1
34,1.1333,377.902,262.046,1
35,1.1667,380.32,260.221,1
36,1.2,378.431,254.006,1
37,1.2333,378.522,247.047,1
38,1.2667,375.201,242.933,1
39,1.3,376.84,236.443,1
40,1.3333,376.794,232.502,1
41,1.3667,376.724,227.377,1
42,1.4,377.53,222.281,1
43,1.4333,377.88,220.385,1
44,1.4667,376.491,214.142,1
45,1.5,377.455,209.161,1
46,1.5333,377.854,206.388,1
47,1.5667,379.851,200.601,1
48,1.6,378.818,197.976,1
49,1.6333,379.496,194.38,1
50,1.6667,380.808,191.795,1
51,1.7,381.174,187.425,1
52,1.7333,380.817,182.489,1
53,1.7667,383.574,182.383,1
54,1.8,386.278,178.899,1
55,1.8333,385.824,175.123,1
56,1.8667,386.139,175.11,1
57,1.9,389.209,173.223,1
58,1.9333,390.606,171.262,1
59,1.9667,390.492,172.902,1
60,2.0,392.592,173.423,1
61,2.0333,394.896,171.636,1
62,2.0667,394.673,169.909,1
63,2.1,397.214,169.69,1
64,2.1333,399.651,171.269,1
65,2.1667,399.556,170.724,1
66,2.2,402.638,172.967,1
67,2.2333,403.978,174.627,1
68,2.2667,406.055,171.058,1
69,2.3,407.986,176.235,1
70,2.3333,406.953,178.064,1
71,2.3667,407.998,180.526,1
72,2.4,411.338,181.081,1
73,2.4333,409.229,182.168,1
74,2.4667,410.731,182.563,1
75,2.5,412.273,184.757,1
76,2.5333,411.589,188.806,1
77,2.5667,413.095,189.317,1
78,2.6,412.865,189.042,1
79,2.6333,416.812,192.4,1
80,2.6667,414.368,191.962,1
81,2.7,412.815,194.016,1
82,2.7333,412.977,199.135,1
83,2.7667,412.674,200.518,1
84,2.8,412.513,199.656,1
85,2.8333,409.377,203.334,1
86,2.8667,410.587,204.017,1
87,2.9,409.245,205.029,1
88,2.9333,406.636,206.244,1
89,2.9667,403.749,208.187,1
90,3.0,401.578,206.517,1
91,3.0333,400.098,207.044,1
92,3.0667,397.212,208.613,1
93,3.1,393.662,207.626,1
94,3.1333,393.084,210.296,1
95,3.1667,389.915,210.653,1
96,3.2,383.801,210.602,1
97,3.2333,382.813,208.695,1
98,3.2667,377.628,208.308,1
99,3.3,373.813,205.982,1
100,3.3333,370.921,208.222,1
101,3.3667,367.348,209.184,1
102,3.4,362.569,208.548,1
103,3.4333,358.315,205.984,1
104,3.4667,352.509,205.902,1
105,3.5,346.065,203.506,1
106,3.5333,342.922,203.821,1
107,3.5667,338.491,204.034,1
108,3.6,332.982,204.113,1
109,3.6333,327.378,202.711,1
110,3.6667,320.362,200.338,1
111,3.7,318.618,201.749,1
112,3.7333,312.241,200.394,1
113,3.7667,304.951,202.12,1
114,3.8,298.856,204.137,1
115,3.8333,295.54,201.607,1
116,3.8667,289.231,202.866,1
117,3.9,284.057,202.358,1
118,3.9333,276.949,202.662,1
119,3.9667,270.712,203.515,1
120,4.0,267.098,204.997,1
121,4.0333,262.182,206.377,1
122,4.0667,255.802,205.857,1
123,4.1,249.506,208.628,1
124,4.1333,246.283,207.833,1
125,4.1667,241.972,215.209,1
126,4.2,235.621,216.574,1
127,4.2333,231.985,219.82,1
128,4.2667,226.518,220.483,1
129,4.3,225.792,224.46,1
130,4.3333,219.596,228.243,1
131,4.3667,216.588,231.95,1
132,4.4,215.007,236.402,1
133,4.4333,207.933,237.184,1
134,4.4667,207.382,241.171,1
135,4.5,200.188,246.362,1
136,4.5333,199.356,249.375,1
137,4.5667,198.616,254.08,1
138,4.6,196.865,257.075,1
139,4.6333,194.961,261.542,1
140,4.6667,193.052,267.484,1
141,4.7,192.86,271.161,1
142,4.7333,194.432,277.188,1
143,4.7667,191.166,281.942,1
144,4.8,189.951,285.276,1
145,4.8333,188.637,289.942,1
146,4.8667,185.956,293.14,1
147,4.9,190.456,296.048,1
148,4.9333,188.678,302.304,1
149,4.9667,192.196,306.575,1
150,5.0,189.655,312.225,0
151,5.0333,192.754,316.75,0
152,5.0667,195.309,316.822,0
153,5.1,195.356,319.743,0
154,5.1333,200.497,322.648,0
155,5.1667,201.394,325.904,0
156,5.2,200.308,328.399,0
157,5.2333,204.675,329.993,0
158,5.2667,205.74,332.123,0
159,5.3,209.823,334.099,0
160,5.3333,212.505,334.079,0
161,5.3667,214.038,334.59,0
162,5.4,218.636,335.731,0
163,5.4333,223.072,336.189,0
164,5.4667,224.942,332.942,0
165,5.5,228.168,332.317,0
166,5.5333,232.719,333.273,0
167,5.5667,236.559,330.659,0
168,5.6,237.142,329.992,0
169,5.6333,242.961,329.464,0
170,5.6667,243.296,327.949,0
171,5.7,250.991,322.036,0
172,5.7333,252.258,322.564,0
173,5.7667,254.681,319.056,0
174,5.8,259.621,314.711,0
175,5.8333,262.22,311.906,0
176,5.8667,265.371,309.392,0
177,5.9,270.231,305.68,0
178,5.9333,271.133,302.377,0
179,5.9667,278.174,297.884,0
180,6.0,275.099,293.971,0
181,6.0333,279.74,288.97,0
182,6.0667,284.154,285.417,0
183,6.1,286.233,282.573,0
184,6.1333,292.471,278.902,0
185,6.1667,291.795,272.383,0
186,6.2,292.15,269.455,1
187,6.2333,296.574,264.322,1
188,6.2667,298.073,263.556,1
189,6.3,301.3,259.441,1
190,6.3333,301.907,255.029,1
191,6.3667,303.634,252.081,1
192,6.4,307.056,246.758,1
193,6.4333,304.715,243.307,1
194,6.4667,309.717,241.36,1
195,6.5,310.56,236.546,1
196,6.5333,310.285,235.483,1
197,6.5667,309.998,232.336,1
198,6.6,312.21,230.846,1
199,6.6333,312.729,227.859,1
200,6.6667,314.704,226.11,1
201,6.7,315.021,223.883,1
202,6.7333,315.583,222.614,1
203,6.7667,314.826,219.144,1
204,6.8,316.689,218.522,1
205,6.8333,315.136,218.209,1
206,6.8667,317.288,217.195,1
207,6.9,320.098,217.285,1
208,6.9333,316.948,213.958,1
209,6.9667,318.926,216.854,1
210,7.0,318.522,216.426,1
211,7.0333,317.592,216.424,1
212,7.0667,318.181,214.071,1
213,7.1,319.568,214.575,1
214,7.1333,319.114,216.054,1
215,7.1667,321.705,218.476,1
216,7.2,320.848,214.927,1
217,7.2333,322.828,218.875,1
218,7.2667,320.983,217.67,1
219,7.3,321.349,216.191,1
220,7.3333,322.808,217.488,1
221,7.3667,323.378,218.733,1
222,7.4,325.191,220.338,1
223,7.4333,323.518,220.244,1
224,7.4667,328.639,218.392,1
225,7.5,328.134,218.927,1
226,7.5333,328.985,219.015,1
227,7.5667,332.252,217.713,1
228,7.6,334.222,219.506,1
229,7.6333,335.639,219.892,1
230,7.6667,338.505,216.659,1
231,7.7,338.818,216.145,1
232,7.7333,342.415,216.291,1
233,7.7667,343.414,214.99,1
234,7.8,344.889,213.59,1
235,7.8333,348.16,212.209,1
236,7.8667,350.172,210.021,1
237,7.9,353.487,208.648,1
238,7.9333,355.17,208.938,1
239,7.9667,360.029,207.383,1
240,8.0,363.102,204.237,1
241,8.0333,367.722,201.631,1
242,8.0667,372.336,198.366,1
243,8.1,373.092,197.383,1
244,8.1333,377.048,194.013,1
245,8.1667,381.647,192.371,1
246,8.2,383.329,189.054,1
247,8.2333,387.681,186.099,1
248,8.2667,391.498,185.676,1
249,8.3,396.281,182.326,1
250,8.3333,399.149,181.896,1
251,8.3667,400.117,177.848,1
252,8.4,404.767,177.367,1
253,8.4333,409.231,174.697,1
254,8.4667,411.276,171.453,1
255,8.5,415.226,168.113,1
256,8.5333,419.718,170.169,1
257,8.5667,424.493,166.127,1
258,8.6,425.936,163.575,1
259,8.6333,427.184,164.788,1
260,8.6667,430.182,162.36,1
261,8.7,435.345,161.483,1
262,8.7333,437.647,161.249,1
263,8.7667,438.951,162.686,1
264,8.8,441.174,161.024,1
