frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,295.403,1
1,0.0333,351.135,299.58,1
2,0.0667,382.509,303.575,1
3,0.1,413.727,307.356,1
4,0.1333,444.361,310.888,1
5,0.1667,473.954,314.137,1
6,0.2,502.026,317.066,1
7,0.2333,528.08,319.642,1
8,0.2667,551.615,321.827,1
9,0.3,572.132,323.588,1
10,0.3333,589.146,324.892,1
11,0.3667,602.198,325.706,1
12,0.4,610.869,325.999,1
13,0.4333,614.794,325.746,1
14,0.4667,613.675,324.921,1
15,0.5,607.294,323.504,1
16,0.5333,595.529,321.477,1
17,0.5667,578.366,318.83,1
18,0.6,555.907,315.556,1
19,0.6333,528.384,311.654,1
20,0.6667,496.162,307.129,1
21,0.7,459.743,301.995,1
22,0.7333,419.766,296.272,1
23,0.7667,377.004,289.987,1
24,0.8,332.353,283.177,1
25,0.8333,286.818,275.884,1
26,0.8667,241.495,268.162,1
27,0.9,197.548,260.071,1
28,0.9333,156.178,251.68,1
29,0.9667,118.591,243.066,1
30,1.0,85.961,234.312,1
31,1.0333,59.39,225.511,1
32,1.0667,39.866,216.76,1
33,1.1,28.221,208.161,1
34,1.1333,25.092,199.821,1
35,1.1667,30.88,191.849,1
36,1.2,45.716,184.358,1
37,1.2333,69.44,177.457,1
38,1.2667,101.578,171.257,1
39,1.3,141.336,165.861,1
40,1.3333,187.604,161.37,1
41,1.3667,238.976,157.875,1
42,1.4,293.776,155.458,1
43,1.4333,350.11,154.188,1
44,1.4667,405.921,154.122,1
45,1.5,459.062,155.298,1
46,1.5333,507.378,157.739,1
47,1.5667,548.798,161.446,1
48,1.6,581.43,166.4,1
49,1.6333,603.655,172.561,1
50,1.6667,614.22,179.863,1
51,1.7,612.323,188.221,1
52,1.7333,597.676,197.524,1
53,1.7667,570.56,207.638,1
54,1.8,531.847,218.41,1
55,1.8333,483.0,229.666,1
56,1.8667,426.039,241.213,1
57,1.9,363.476,252.844,1
58,1.9333,298.224,264.344,1
59,1.9667,233.463,275.485,1
60,2.0,172.5,286.039,1
61,2.0333,118.591,295.781,1
62,2.0667,74.764,304.489,1
63,2.1,43.637,311.956,1
64,2.1333,27.241,317.993,1
65,2.1667,26.872,322.432,1
66,2.2,42.967,325.135,1
67,2.2333,75.027,325.998,1
