frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,240.0,1
1,0.0333,321.246,240.104,1
2,0.0667,322.465,240.417,1
3,0.1,323.632,240.934,1
4,0.1333,324.72,241.65,1
5,0.1667,325.703,242.556,1
6,0.2,326.558,243.639,1
7,0.2333,327.259,244.886,1
8,0.2667,327.785,246.276,1
9,0.3,328.116,247.791,1
10,0.3333,328.232,249.406,1
11,0.3667,328.12,251.096,1
12,0.4,327.765,252.834,1
13,0.4333,327.158,254.588,1
14,0.4667,326.293,256.329,1
15,0.5,325.166,258.024,1
16,0.5333,323.778,259.64,1
17,0.5667,322.134,261.143,1
18,0.6,320.243,262.499,1
19,0.6333,318.116,263.675,1
20,0.6667,315.772,264.64,1
21,0.7,313.23,265.362,1
22,0.7333,310.514,265.812,1
23,0.7667,307.655,265.964,1
24,0.8,304.682,265.795,1
25,0.8333,301.633,265.283,1
26,0.8667,298.544,264.411,1
27,0.9,295.458,263.168,1
28,0.9333,292.416,261.544,1
29,0.9667,289.465,259.537,1
30,1.0,286.65,257.148,1
31,1.0333,284.019,254.384,1
32,1.0667,281.617,251.258,1
33,1.1,279.492,247.787,1
34,1.1333,277.688,243.997,1
35,1.1667,276.25,239.916,1
36,1.2,275.218,235.579,1
37,1.2333,274.629,231.027,1
38,1.2667,274.517,226.304,1
39,1.3,274.912,221.462,1
40,1.3333,275.837,216.555,1
41,1.3667,277.311,211.641,1
42,1.4,279.345,206.782,1
43,1.4333,281.946,202.041,1
44,1.4667,285.109,197.484,1
45,1.5,288.827,193.178,1
46,1.5333,293.081,189.19,1
47,1.5667,297.846,185.587,1
48,1.6,303.089,182.433,1
49,1.6333,308.768,179.789,1
50,1.6667,314.833,177.714,1
51,1.7,321.229,176.262,1
52,1.7333,327.89,175.481,1
53,1.7667,334.746,175.412,1
54,1.8,341.72,176.09,1
55,1.8333,348.73,177.541,1
56,1.8667,355.69,179.782,1
57,1.9,362.509,182.82,1
58,1.9333,369.095,186.652,1
59,1.9667,375.354,191.266,1
60,2.0,381.192,196.635,1
61,2.0333,386.518,202.725,1
62,2.0667,391.241,209.487,1
63,2.1,395.275,216.864,1
64,2.1333,398.54,224.787,1
65,2.1667,400.963,233.174,1
66,2.2,402.477,241.937,1
67,2.2333,403.028,250.977,1
68,2.2667,402.568,260.186,1
69,2.3,401.066,269.452,1
70,2.3333,398.499,278.654,1
71,2.3667,394.862,287.668,1
72,2.4,390.161,296.368,1
73,2.4333,384.42,304.627,1
74,2.4667,377.676,312.317,1
75,2.5,369.982,319.315,1
76,2.5333,361.409,325.5,1
77,2.5667,352.039,330.761,1
78,2.6,341.973,334.992,1
79,2.6333,331.322,338.099,1
80,2.6667,320.213,340.0,1
81,2.7,308.782,340.627,1
82,2.7333,297.178,339.927,1
83,2.7667,285.555,337.865,1
84,2.8,274.075,334.424,1
85,2.8333,262.905,329.606,1
86,2.8667,252.211,323.432,1
87,2.9,242.163,315.947,1
88,2.9333,232.924,307.214,1
89,2.9667,224.652,297.318,1
90,3.0,217.498,286.363,1
91,3.0333,211.6,274.476,1
92,3.0667,207.085,261.798,1
93,3.1,204.061,248.492,1
94,3.1333,202.618,234.732,1
95,3.1667,202.828,220.708,1
96,3.2,204.736,206.62,1
97,3.2333,208.367,192.676,1
98,3.2667,213.717,179.089,1
99,3.3,220.757,166.075,1
100,3.3333,229.431,153.848,1
101,3.3667,239.653,142.617,1
102,3.4,251.314,132.583,1
103,3.4333,264.275,123.934,1
104,3.4667,278.373,116.845,1
105,3.5,293.422,111.469,1
106,3.5333,309.213,107.94,1
107,3.5667,325.519,106.364,1
108,3.6,342.098,106.821,1
109,3.6333,358.693,109.359,1
110,3.6667,375.04,113.997,1
111,3.7,390.871,120.715,1
112,3.7333,405.916,129.463,1
113,3.7667,419.911,140.154,1
114,3.8,432.6,152.664,1
115,3.8333,443.74,166.839,1
116,3.8667,453.106,182.487,1
117,3.9,460.499,199.39,1
118,3.9333,465.743,217.299,1
119,3.9667,468.695,235.94,1
120,4.0,469.246,255.019,1
