frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,240.0,1
1,0.0333,348.754,255.346,1
2,0.0667,377.243,270.618,1
3,0.1,405.205,285.741,1
4,0.1333,432.382,300.64,1
5,0.1667,458.525,315.244,1
6,0.2,483.392,329.482,1
7,0.2333,506.754,343.284,1
8,0.2667,528.398,356.582,1
9,0.3,548.122,369.313,1
10,0.3333,565.746,381.413,1
11,0.3667,581.107,392.825,1
12,0.4,594.064,403.492,1
13,0.4333,604.497,413.362,1
14,0.4667,612.311,422.388,1
15,0.5,617.433,430.526,1
16,0.5333,619.817,437.735,1
17,0.5667,619.44,443.98,1
18,0.6,616.307,449.232,1
19,0.6333,610.444,453.465,1
20,0.6667,601.908,456.658,1
21,0.7,590.776,458.795,1
22,0.7333,577.15,459.866,1
23,0.7667,561.157,459.866,1
24,0.8,542.943,458.795,1
25,0.8333,522.677,456.658,1
26,0.8667,500.545,453.465,1
27,0.9,476.75,449.232,1
28,0.9333,451.511,443.98,1
29,0.9667,425.062,437.735,1
30,1.0,397.646,430.526,1
31,1.0333,369.514,422.388,1
32,1.0667,340.927,413.362,1
33,1.1,312.147,403.492,1
34,1.1333,283.439,392.825,1
35,1.1667,255.068,381.413,1
36,1.2,227.295,369.313,1
37,1.2333,200.375,356.582,1
38,1.2667,174.557,343.284,1
39,1.3,150.078,329.482,1
40,1.3333,127.164,315.244,1
41,1.3667,106.025,300.64,1
42,1.4,86.856,285.741,1
43,1.4333,69.834,270.618,1
44,1.4667,55.116,255.346,1
45,1.5,42.836,240.0,1
46,1.5333,33.109,224.654,1
47,1.5667,26.023,209.382,1
48,1.6,21.643,194.259,1
49,1.6333,20.011,179.36,1
50,1.6667,21.142,164.756,1
51,1.7,25.024,150.518,1
52,1.7333,31.621,136.716,1
53,1.7667,40.875,123.418,1
54,1.8,52.698,110.687,1
55,1.8333,66.983,98.587,1
56,1.8667,83.597,87.175,1
57,1.9,102.388,76.508,1
58,1.9333,123.182,66.638,1
59,1.9667,145.789,57.612,1
60,2.0,170.0,49.474,1
61,2.0333,195.592,42.265,1
62,2.0667,222.33,36.02,1
63,2.1,249.966,30.768,1
64,2.1333,278.248,26.535,1
65,2.1667,306.914,23.342,1
66,2.2,335.701,21.205,1
67,2.2333,364.343,20.134,1
68,2.2667,392.577,20.134,1
69,2.3,420.142,21.205,1
70,2.3333,446.785,23.342,1
71,2.3667,472.262,26.535,1
72,2.4,496.336,30.768,1
73,2.4333,518.786,36.02,1
74,2.4667,539.406,42.265,1
75,2.5,558.006,49.474,1
76,2.5333,574.414,57.612,1
77,2.5667,588.48,66.638,1
78,2.6,600.074,76.508,1
79,2.6333,609.089,87.175,1
80,2.6667,615.442,98.587,1
81,2.7,619.075,110.687,1
82,2.7333,619.954,123.418,1
83,2.7667,618.072,136.716,1
84,2.8,613.444,150.518,1
85,2.8333,606.115,164.756,1
86,2.8667,596.151,179.36,1
87,2.9,583.645,194.259,1
88,2.9333,568.711,209.382,1
89,2.9667,551.487,224.654,1
90,3.0,532.132,240.0,1
91,3.0333,510.823,255.346,1
92,3.0667,487.758,270.618,1
93,3.1,463.148,285.741,1
94,3.1333,437.219,300.64,1
95,3.1667,410.212,315.244,1
96,3.2,382.374,329.482,1
97,3.2333,353.961,343.284,1
98,3.2667,325.236,356.582,1
99,3.3,296.462,369.313,1
100,3.3333,267.906,381.413,1
101,3.3667,239.828,392.825,1
102,3.4,212.49,403.492,1
103,3.4333,186.141,413.362,1
104,3.4667,161.024,422.388,1
105,3.5,137.372,430.526,1
106,3.5333,115.4,437.735,1
107,3.5667,95.313,443.98,1
108,3.6,77.295,449.232,1
109,3.6333,61.511,453.465,1
110,3.6667,48.108,456.658,1
111,3.7,37.208,458.795,1
112,3.7333,28.911,459.866,1
113,3.7667,23.295,459.866,1
114,3.8,20.411,458.795,1
115,3.8333,20.286,456.658,1
116,3.8667,22.92,453.465,1
117,3.9,28.289,449.232,1
118,3.9333,36.344,443.98,1
119,3.9667,47.012,437.735,1
120,4.0,60.192,430.526,1
121,4.0333,75.765,422.388,1
122,4.0667,93.587,413.362,1
123,4.1,113.494,403.492,1
124,4.1333,135.302,392.825,1
125,4.1667,158.81,381.413,1
126,4.2,183.803,369.313,1
127,4.2333,210.05,356.582,1
128,4.2667,237.309,343.284,1
129,4.3,265.329,329.482,1
130,4.3333,293.853,315.244,1
131,4.3667,322.618,300.64,1
132,4.4,351.359,285.741,1
133,4.4333,379.81,270.618,1
134,4.4667,407.712,255.346,1
135,4.5,434.805,240.0,1
136,4.5333,460.841,224.654,1
137,4.5667,485.581,209.382,1
138,4.6,508.796,194.259,1
139,4.6333,530.273,179.36,1
140,4.6667,549.813,164.756,1
141,4.7,567.238,150.518,1
142,4.7333,582.386,136.716,1
143,4.7667,595.118,123.418,1
144,4.8,605.317,110.687,1
145,4.8333,612.889,98.587,1
146,4.8667,617.764,87.175,1
147,4.9,619.897,76.508,1
148,4.9333,619.269,66.638,1
149,4.9667,615.886,57.612,1
150,5.0,609.778,49.474,1
151,5.0333,601.002,42.265,1
152,5.0667,589.638,36.02,1
153,5.1,575.792,30.768,1
154,5.1333,559.591,26.535,1
155,5.1667,541.183,23.342,1
156,5.2,520.739,21.205,1
157,5.2333,498.447,20.134,1
158,5.2667,474.511,20.134,1
159,5.3,449.153,21.205,1
160,5.3333,422.606,23.342,1
161,5.3667,395.114,26.535,1
162,5.4,366.93,30.768,1
163,5.4333,338.315,36.02,1
164,5.4667,309.53,42.265,1
165,5.5,280.842,49.474,1
166,5.5333,252.515,57.612,1
167,5.5667,224.809,66.638,1
168,5.6,197.979,76.508,1
169,5.6333,172.273,87.175,1
170,5.6667,147.927,98.587,1
171,5.7,125.166,110.687,1
172,5.7333,104.198,123.418,1
173,5.7667,85.218,136.716,1
174,5.8,68.399,150.518,1
175,5.8333,53.897,164.756,1
176,5.8667,41.845,179.36,1
177,5.9,32.354,194.259,1
178,5.9333,25.512,209.382,1
179,5.9667,21.381,224.654,1
180,6.0,20.0,240.0,1
181,6.0333,21.381,255.346,1
182,6.0667,25.512,270.618,1
183,6.1,32.354,285.741,1
184,6.1333,41.845,300.64,1
185,6.1667,53.897,315.244,1
186,6.2,68.399,329.482,1
187,6.2333,85.218,343.284,1
188,6.2667,104.198,356.582,1
189,6.3,125.166,369.313,1
190,6.3333,147.927,381.413,1
191,6.3667,172.273,392.825,1
192,6.4,197.979,403.492,1
193,6.4333,224.809,413.362,1
194,6.4667,252.515,422.388,1
195,6.5,280.842,430.526,1
196,6.5333,309.53,437.735,1
197,6.5667,338.315,443.98,1
198,6.6,366.93,449.232,1
199,6.6333,395.114,453.465,1
200,6.6667,422.606,456.658,1
201,6.7,449.153,458.795,1
202,6.7333,474.511,459.866,1
203,6.7667,498.447,459.866,1
204,6.8,520.739,458.795,1
205,6.8333,541.183,456.658,1
206,6.8667,559.591,453.465,1
207,6.9,575.792,449.232,1
208,6.9333,589.638,443.98,1
209,6.9667,601.002,437.735,1
210,7.0,609.778,430.526,1
211,7.0333,615.886,422.388,1
212,7.0667,619.269,413.362,1
213,7.1,619.897,403.492,1
214,7.1333,617.764,392.825,1
215,7.1667,612.889,381.413,1
216,7.2,605.317,369.313,1
217,7.2333,595.118,356.582,1
218,7.2667,582.386,343.284,1
219,7.3,567.238,329.482,1
220,7.3333,549.813,315.244,1
221,7.3667,530.273,300.64,1
222,7.4,508.796,285.741,1
223,7.4333,485.581,270.618,1
224,7.4667,460.841,255.346,1
225,7.5,434.805,240.0,1
226,7.5333,407.712,224.654,1
227,7.5667,379.81,209.382,1
228,7.6,351.359,194.259,1
229,7.6333,322.618,179.36,1
230,7.6667,293.853,164.756,1
231,7.7,265.329,150.518,1
232,7.7333,237.309,136.716,1
233,7.7667,210.05,123.418,1
234,7.8,183.803,110.687,1
235,7.8333,158.81,98.587,1
236,7.8667,135.302,87.175,1
237,7.9,113.494,76.508,1
238,7.9333,93.587,66.638,1
239,7.9667,75.765,57.612,1
240,8.0,60.192,49.474,1
241,8.0333,47.012,42.265,1
242,8.0667,36.344,36.02,1
243,8.1,28.289,30.768,1
244,8.1333,22.92,26.535,1
245,8.1667,20.286,23.342,1
246,8.2,20.411,21.205,1
247,8.2333,23.295,20.134,1
248,8.2667,28.911,20.134,1
249,8.3,37.208,21.205,1
250,8.3333,48.108,23.342,1
251,8.3667,61.511,26.535,1
252,8.4,77.295,30.768,1
253,8.4333,95.313,36.02,1
254,8.4667,115.4,42.265,1
255,8.5,137.372,49.474,1
256,8.5333,161.024,57.612,1
257,8.5667,186.141,66.638,1
258,8.6,212.49,76.508,1
259,8.6333,239.828,87.175,1
260,8.6667,267.906,98.587,1
261,8.7,296.462,110.687,1
262,8.7333,325.236,123.418,1
263,8.7667,353.961,136.716,1
264,8.8,382.374,150.518,1
265,8.8333,410.212,164.756,1
266,8.8667,437.219,179.36,1
267,8.9,463.148,194.259,1
268,8.9333,487.758,209.382,1
269,8.9667,510.823,224.654,1
270,9.0,532.132,240.0,1
271,9.0333,551.487,255.346,1
272,9.0667,568.711,270.618,1
273,9.1,583.645,285.741,1
274,9.1333,596.151,300.64,1
275,9.1667,606.115,315.244,1
276,9.2,613.444,329.482,1
277,9.2333,618.072,343.284,1
278,9.2667,619.954,356.582,1
279,9.3,619.075,369.313,1
280,9.3333,615.442,381.413,1
281,9.3667,609.089,392.825,1
282,9.4,600.074,403.492,1
283,9.4333,588.48,413.362,1
284,9.4667,574.414,422.388,1
285,9.5,558.006,430.526,1
286,9.5333,539.406,437.735,1
287,9.5667,518.786,443.98,1
288,9.6,496.336,449.232,1
289,9.6333,472.262,453.465,1
290,9.6667,446.785,456.658,1
291,9.7,420.142,458.795,1
292,9.7333,392.577,459.866,1
293,9.7667,364.343,459.866,1
294,9.8,335.701,458.795,1
295,9.8333,306.914,456.658,1
296,9.8667,278.248,453.465,1
297,9.9,249.966,449.232,1
298,9.9333,222.33,443.98,1
299,9.9667,195.592,437.735,1
300,10.0,170.0,430.526,1
301,10.0333,145.789,422.388,1
302,10.0667,123.182,413.362,1
303,10.1,102.388,403.492,1
304,10.1333,83.597,392.825,1
305,10.1667,66.983,381.413,1
306,10.2,52.698,369.313,1
307,10.2333,40.875,356.582,1
308,10.2667,31.621,343.284,1
309,10.3,25.024,329.482,1
310,10.3333,21.142,315.244,1
311,10.3667,20.011,300.64,1
312,10.4,21.643,285.741,1
313,10.4333,26.023,270.618,1
314,10.4667,33.109,255.346,1
315,10.5,42.836,240.0,1
316,10.5333,55.116,224.654,1
317,10.5667,69.834,209.382,1
318,10.6,86.856,194.259,1
319,10.6333,106.025,179.36,1
320,10.6667,127.164,164.756,1
321,10.7,150.078,150.518,1
322,10.7333,174.557,136.716,1
323,10.7667,200.375,123.418,1
324,10.8,227.295,110.687,1
325,10.8333,255.068,98.587,1
326,10.8667,283.439,87.175,1
327,10.9,312.147,76.508,1
328,10.9333,340.927,66.638,1
329,10.9667,369.514,57.612,1
330,11.0,397.646,49.474,1
331,11.0333,425.062,42.265,1
332,11.0667,451.511,36.02,1
333,11.1,476.75,30.768,1
334,11.1333,500.545,26.535,1
335,11.1667,522.677,23.342,1
336,11.2,542.943,21.205,1
337,11.2333,561.157,20.134,1
338,11.2667,577.15,20.134,1
339,11.3,590.776,21.205,1
340,11.3333,601.908,23.342,1
341,11.3667,610.444,26.535,1
342,11.4,616.307,30.768,1
343,11.4333,619.44,36.02,1
344,11.4667,619.817,42.265,1
345,11.5,617.433,49.474,1
346,11.5333,612.311,57.612,1
347,11.5667,604.497,66.638,1
