frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.448,240.22,1
1,0.0333,320.899,240.524,1
2,0.0667,321.353,240.856,1
3,0.1,321.818,241.201,1
4,0.1333,322.27,241.541,1
5,0.1667,322.569,241.837,1
6,0.2,322.909,242.235,1
7,0.2333,323.324,242.612,1
8,0.2667,323.757,243.085,1
9,0.3,324.187,243.521,1
10,0.3333,324.523,243.862,1
11,0.3667,324.814,244.305,1
12,0.4,325.166,244.705,1
13,0.4333,325.65,245.162,1
14,0.4667,326.013,245.557,1
15,0.5,326.43,246.09,1
16,0.5333,326.885,246.651,1
17,0.5667,327.327,247.183,1
18,0.6,327.731,247.712,1
19,0.6333,328.117,248.258,1
20,0.6667,328.497,248.917,1
21,0.7,328.889,249.678,1
22,0.7333,329.283,250.401,1
23,0.7667,329.63,251.036,1
24,0.8,330.167,251.805,1
25,0.8333,330.748,252.558,1
26,0.8667,331.355,253.364,1
27,0.9,332.069,254.097,1
28,0.9333,332.728,254.759,1
29,0.9667,333.37,255.495,1
30,1.0,333.854,256.225,1
31,1.0333,334.117,256.896,1
32,1.0667,334.388,257.506,1
33,1.1,334.627,258.355,1
34,1.1333,334.955,259.311,1
35,1.1667,335.197,260.21,1
36,1.2,335.408,260.937,1
37,1.2333,335.64,261.823,1
38,1.2667,335.843,262.741,1
39,1.3,335.904,263.759,1
40,1.3333,336.05,264.694,1
41,1.3667,336.238,265.61,1
42,1.4,336.458,266.497,1
43,1.4333,336.815,267.352,1
44,1.4667,337.142,268.145,1
45,1.5,337.465,268.864,1
46,1.5333,337.813,269.494,1
47,1.5667,338.205,270.115,1
48,1.6,338.607,270.659,1
49,1.6333,339.007,271.189,1
50,1.6667,339.375,271.804,1
51,1.7,339.772,272.423,1
52,1.7333,340.245,272.97,1
53,1.7667,340.789,273.524,1
54,1.8,341.312,274.095,1
55,1.8333,341.937,274.524,1
56,1.8667,342.7,274.933,1
57,1.9,343.314,275.342,1
58,1.9333,343.761,275.679,1
59,1.9667,344.053,275.75,1
60,2.0,342.212,275.963,1
61,2.0333,340.25,276.219,1
62,2.0667,338.289,276.485,1
63,2.1,336.2,276.619,1
64,2.1333,334.15,276.804,1
65,2.1667,332.147,276.989,1
66,2.2,330.256,277.192,1
67,2.2333,328.403,277.473,1
68,2.2667,326.616,277.769,1
69,2.3,324.767,278.027,1
70,2.3333,322.929,278.216,1
71,2.3667,321.093,278.422,1
72,2.4,319.212,278.701,1
73,2.4333,317.295,278.876,1
74,2.4667,315.361,279.149,1
75,2.5,313.352,279.26,1
76,2.5333,311.383,279.302,1
77,2.5667,309.42,279.199,1
78,2.6,307.431,279.021,1
79,2.6333,305.348,278.838,1
80,2.6667,303.226,278.579,1
81,2.7,301.236,278.346,1
82,2.7333,299.29,278.229,1
83,2.7667,297.303,278.107,1
84,2.8,295.408,278.134,1
85,2.8333,293.552,278.091,1
86,2.8667,291.642,278.088,1
87,2.9,289.841,278.151,1
88,2.9333,287.985,278.221,1
89,2.9667,286.185,278.265,1
90,3.0,284.418,278.348,1
91,3.0333,282.73,278.403,1
92,3.0667,281.1,278.471,1
93,3.1,279.556,278.473,1
94,3.1333,277.963,278.404,1
95,3.1667,276.398,278.302,1
96,3.2,274.692,278.312,1
97,3.2333,272.994,278.408,1
98,3.2667,271.313,278.521,1
99,3.3,269.626,278.716,1
100,3.3333,267.966,278.964,1
101,3.3667,266.265,279.102,1
102,3.4,264.525,279.165,1
103,3.4333,262.724,279.191,1
104,3.4667,260.994,279.222,1
105,3.5,259.236,279.33,1
106,3.5333,257.364,279.56,1
107,3.5667,255.544,279.754,1
108,3.6,253.657,279.843,1
109,3.6333,251.751,279.916,1
110,3.6667,249.862,280.016,1
111,3.7,247.95,280.09,1
112,3.7333,245.885,280.116,1
113,3.7667,243.844,280.199,1
114,3.8,241.797,280.285,1
115,3.8333,239.877,280.475,1
116,3.8667,237.799,280.879,1
117,3.9,235.69,281.319,1
118,3.9333,233.668,281.777,1
119,3.9667,231.573,282.123,1
120,4.0,232.739,283.958,1
121,4.0333,233.767,285.643,1
122,4.0667,234.889,287.256,1
123,4.1,236.113,288.903,1
124,4.1333,237.292,290.675,1
125,4.1667,238.476,292.466,1
126,4.2,239.783,294.155,1
127,4.2333,241.145,295.722,1
128,4.2667,242.691,297.166,1
129,4.3,244.398,298.643,1
130,4.3333,246.144,300.143,1
131,4.3667,247.863,301.546,1
132,4.4,249.582,303.034,1
133,4.4333,251.46,304.648,1
134,4.4667,253.32,306.319,1
135,4.5,255.182,307.945,1
136,4.5333,257.104,309.371,1
137,4.5667,258.978,310.973,1
138,4.6,260.883,312.592,1
139,4.6333,262.832,314.157,1
140,4.6667,264.795,315.705,1
141,4.7,266.679,317.348,1
142,4.7333,268.457,318.953,1
143,4.7667,270.217,320.413,1
144,4.8,271.949,322.037,1
145,4.8333,273.654,323.626,1
146,4.8667,275.44,325.157,1
147,4.9,277.29,326.664,1
148,4.9333,279.141,328.074,1
149,4.9667,280.964,329.519,1
150,5.0,282.742,330.953,1
151,5.0333,284.678,332.417,1
152,5.0667,286.576,333.878,1
153,5.1,288.627,335.303,1
154,5.1333,290.675,336.738,1
155,5.1667,292.752,338.129,1
156,5.2,294.834,339.512,1
157,5.2333,296.935,340.868,1
158,5.2667,299.052,342.197,1
159,5.3,301.175,343.475,1
160,5.3333,303.25,344.768,1
161,5.3667,305.349,346.126,1
162,5.4,307.457,347.471,1
163,5.4333,309.554,348.767,1
164,5.4667,311.537,350.12,1
165,5.5,313.511,351.44,1
166,5.5333,315.459,353.006,1
167,5.5667,317.454,354.514,1
168,5.6,319.493,355.889,1
169,5.6333,321.577,357.222,1
170,5.6667,322.701,358.916,1
171,5.7,324.071,360.752,1
172,5.7333,325.38,362.704,1
173,5.7667,326.763,364.643,1
174,5.8,328.167,366.462,1
175,5.8333,329.693,368.209,1
176,5.8667,331.1,370.143,1
177,5.9,332.612,372.124,1
178,5.9333,334.088,374.023,1
179,5.9667,335.622,375.979,1
180,6.0,337.159,377.95,1
181,6.0333,338.762,379.869,1
182,6.0667,340.431,381.73,1
183,6.1,342.039,383.598,1
184,6.1333,343.506,385.388,1
185,6.1667,345.084,387.054,1
186,6.2,346.61,388.778,1
187,6.2333,348.193,390.501,1
188,6.2667,349.814,392.205,1
189,6.3,351.342,393.861,1
190,6.3333,352.916,395.591,1
191,6.3667,354.449,397.382,1
192,6.4,355.823,399.127,1
193,6.4333,357.3,400.814,1
194,6.4667,358.736,402.526,1
195,6.5,360.214,404.335,1
196,6.5333,361.647,405.997,1
197,6.5667,362.954,407.756,1
198,6.6,364.246,409.604,1
199,6.6333,365.407,411.522,1
200,6.6667,366.525,413.575,1
201,6.7,367.638,415.653,1
202,6.7333,368.859,417.761,1
203,6.7667,370.169,419.873,1
204,6.8,371.46,422.014,1
205,6.8333,372.804,424.111,1
206,6.8667,374.161,426.111,1
207,6.9,375.519,428.069,1
208,6.9333,376.816,430.076,1
209,6.9667,378.025,432.106,1
210,7.0,379.316,434.131,1
211,7.0333,380.467,436.172,1
212,7.0667,381.779,438.032,1
213,7.1,383.114,439.973,1
214,7.1333,384.404,441.975,1
215,7.1667,385.713,444.105,1
216,7.2,386.882,446.138,1
217,7.2333,387.901,448.074,1
218,7.2667,388.87,449.931,1
219,7.3,389.827,451.724,1
220,7.3333,390.776,453.731,1
221,7.3667,391.743,455.841,1
222,7.4,392.601,457.911,1
223,7.4333,393.398,459.952,1
224,7.4667,394.051,462.007,1
225,7.5,394.618,464.185,1
226,7.5333,395.095,465.0,1
227,7.5667,395.578,462.902,1
228,7.6,395.891,460.763,1
229,7.6333,396.193,458.566,1
230,7.6667,396.497,456.311,1
231,7.7,396.914,453.976,1
232,7.7333,397.369,451.624,1
233,7.7667,397.788,449.239,1
234,7.8,398.414,446.859,1
235,7.8333,399.018,444.433,1
236,7.8667,399.518,441.985,1
237,7.9,399.797,439.666,1
238,7.9333,400.147,437.279,1
239,7.9667,400.509,434.805,1
240,8.0,399.337,436.632,1
241,8.0333,398.082,438.502,1
242,8.0667,396.799,440.264,1
243,8.1,395.472,442.022,1
244,8.1333,394.059,443.779,1
245,8.1667,392.581,445.554,1
246,8.2,391.305,447.31,1
247,8.2333,389.935,449.032,1
248,8.2667,388.637,450.734,1
249,8.3,387.395,452.519,1
250,8.3333,386.196,454.269,1
251,8.3667,385.003,455.997,1
252,8.4,383.782,457.518,1
253,8.4333,382.69,459.056,1
254,8.4667,381.637,460.458,1
255,8.5,380.502,461.889,1
256,8.5333,379.395,463.248,1
257,8.5667,378.321,464.722,1
258,8.6,377.327,465.0,1
259,8.6333,376.389,463.586,1
260,8.6667,375.443,462.133,1
261,8.7,374.466,460.707,1
262,8.7333,373.543,459.258,1
263,8.7667,372.557,457.896,1
264,8.8,371.601,456.596,1
265,8.8333,370.73,455.365,1
266,8.8667,369.694,454.091,1
267,8.9,368.674,452.812,1
268,8.9333,367.663,451.641,1
269,8.9667,366.8,450.497,1
270,9.0,366.015,449.364,1
271,9.0333,365.211,448.214,1
272,9.0667,364.399,447.116,1
273,9.1,363.603,446.038,1
274,9.1333,362.784,444.851,1
275,9.1667,361.892,443.741,1
276,9.2,360.986,442.677,1
277,9.2333,360.067,441.698,1
278,9.2667,359.061,440.573,1
279,9.3,358.14,439.391,1
280,9.3333,357.29,438.195,1
281,9.3667,356.502,436.961,1
282,9.4,355.775,435.644,1
283,9.4333,355.158,434.39,1
284,9.4667,354.681,433.282,1
285,9.5,354.191,432.321,1
286,9.5333,353.724,431.348,1
287,9.5667,353.144,430.436,1
288,9.6,352.646,429.6,1
289,9.6333,352.297,428.642,1
290,9.6667,351.901,427.774,1
291,9.7,351.499,426.783,1
292,9.7333,351.145,425.758,1
293,9.7667,350.76,424.733,1
294,9.8,350.356,423.801,1
295,9.8333,349.951,422.953,1
296,9.8667,349.53,422.176,1
297,9.9,349.108,421.379,1
298,9.9333,348.695,420.62,1
299,9.9667,348.334,419.921,1
300,10.0,347.995,419.331,1
301,10.0333,347.737,418.697,1
302,10.0667,347.449,418.145,1
303,10.1,347.309,417.533,1
304,10.1333,347.004,416.923,1
305,10.1667,346.616,416.457,1
306,10.2,346.469,416.061,1
307,10.2333,346.454,415.62,1
308,10.2667,346.391,415.171,1
309,10.3,346.292,414.753,1
310,10.3333,345.498,415.386,1
311,10.3667,344.691,415.904,1
312,10.4,343.813,416.421,1
313,10.4333,342.869,417.012,1
314,10.4667,342.045,417.716,1
315,10.5,341.281,418.366,1
316,10.5333,340.577,419.017,1
317,10.5667,339.884,419.673,1
318,10.6,339.212,420.371,1
319,10.6333,338.44,421.004,1
320,10.6667,337.63,421.608,1
321,10.7,336.777,422.32,1
322,10.7333,335.872,422.974,1
323,10.7667,334.937,423.607,1
324,10.8,333.941,424.25,1
325,10.8333,332.968,424.913,1
326,10.8667,332.057,425.546,1
327,10.9,331.122,426.16,1
328,10.9333,330.25,426.842,1
329,10.9667,329.397,427.553,1
330,11.0,328.571,428.337,1
331,11.0333,327.908,429.072,1
332,11.0667,327.223,429.785,1
333,11.1,326.473,430.393,1
334,11.1333,325.759,431.014,1
335,11.1667,325.076,431.671,1
336,11.2,324.471,432.424,1
337,11.2333,323.921,433.168,1
338,11.2667,323.441,433.888,1
339,11.3,322.943,434.532,1
340,11.3333,322.425,435.172,1
341,11.3667,321.881,435.73,1
342,11.4,321.152,436.195,1
343,11.4333,320.362,436.709,1
344,11.4667,319.554,437.313,1
345,11.5,318.546,437.901,1
346,11.5333,317.547,438.498,1
347,11.5667,316.671,439.166,1
348,11.6,315.774,439.796,1
349,11.6333,314.853,440.579,1
350,11.6667,313.881,441.454,1
351,11.7,312.877,442.381,1
352,11.7333,311.678,443.146,1
353,11.7667,310.572,443.904,1
354,11.8,309.411,444.648,1
355,11.8333,308.375,445.404,1
356,11.8667,307.456,446.234,1
357,11.9,306.532,447.028,1
358,11.9333,305.786,447.806,1
359,11.9667,305.028,448.651,1
