frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,320.0,240.0,1
1,0.0333,331.854,248.665,1
2,0.0667,343.679,257.267,1
3,0.1,355.447,265.747,1
4,0.1333,367.13,274.044,1
5,0.1667,378.701,282.101,1
6,0.2,390.133,289.864,1
7,0.2333,401.4,297.283,1
8,0.2667,412.479,304.312,1
9,0.3,423.345,310.91,1
10,0.3333,433.977,317.039,1
11,0.3667,444.355,322.672,1
12,0.4,454.459,327.781,1
13,0.4333,464.275,332.349,1
14,0.4667,473.785,336.363,1
15,0.5,482.978,339.815,1
16,0.5333,491.841,342.704,1
17,0.5667,500.366,345.033,1
18,0.6,508.545,346.812,1
19,0.6333,516.373,348.053,1
20,0.6667,523.846,348.775,1
21,0.7,530.961,349.0,1
22,0.7333,537.72,348.751,1
23,0.7667,544.123,348.057,1
24,0.8,550.174,346.947,1
25,0.8333,555.876,345.453,1
26,0.8667,561.237,343.607,1
27,0.9,566.263,341.444,1
28,0.9333,570.962,338.998,1
29,0.9667,575.345,336.302,1
30,1.0,579.42,333.39,1
31,1.0333,583.2,330.294,1
32,1.0667,586.695,327.047,1
33,1.1,589.918,323.679,1
34,1.1333,592.881,320.218,1
35,1.1667,595.598,316.692,1
36,1.2,598.08,313.127,1
37,1.2333,600.343,309.545,1
38,1.2667,602.398,305.97,1
39,1.3,604.258,302.419,1
40,1.3333,605.937,298.912,1
41,1.3667,607.447,295.464,1
42,1.4,608.801,292.089,1
43,1.4333,610.01,288.799,1
44,1.4667,611.086,285.605,1
45,1.5,612.04,282.515,1
46,1.5333,612.882,279.538,1
47,1.5667,613.624,276.677,1
48,1.6,614.273,273.939,1
49,1.6333,614.84,271.326,1
50,1.6667,615.333,268.84,1
51,1.7,615.759,266.482,1
52,1.7333,616.126,264.254,1
53,1.7667,616.441,262.152,1
54,1.8,616.71,260.177,1
55,1.8333,616.938,258.326,1
56,1.8667,617.13,256.595,1
57,1.9,617.292,254.982,1
58,1.9333,617.427,253.483,1
59,1.9667,617.54,252.093,1
60,2.0,617.633,250.807,1
61,2.0333,617.709,249.621,1
62,2.0667,617.772,248.528,1
63,2.1,617.822,247.523,1
64,2.1333,617.863,246.601,1
65,2.1667,617.896,245.754,1
66,2.2,617.922,244.977,1
67,2.2333,617.943,244.263,1
68,2.2667,617.959,243.606,1
69,2.3,617.972,242.998,1
70,2.3333,617.981,242.433,1
71,2.3667,617.989,241.903,1
72,2.4,617.994,241.402,1
73,2.4333,617.997,240.923,1
74,2.4667,617.999,240.458,1
75,2.5,618.0,240.0,1
76,2.5333,617.999,239.542,1
77,2.5667,617.997,239.077,1
78,2.6,617.994,238.598,1
79,2.6333,617.989,238.097,1
80,2.6667,617.981,237.567,1
81,2.7,617.972,237.002,1
82,2.7333,617.959,236.394,1
83,2.7667,617.943,235.737,1
84,2.8,617.922,235.023,1
85,2.8333,617.896,234.246,1
86,2.8667,617.863,233.399,1
87,2.9,617.822,232.477,1
88,2.9333,617.772,231.472,1
89,2.9667,617.709,230.379,1
90,3.0,617.633,229.193,1
91,3.0333,617.54,227.907,1
92,3.0667,617.427,226.517,1
93,3.1,617.292,225.018,1
94,3.1333,617.13,223.405,1
95,3.1667,616.938,221.674,1
96,3.2,616.71,219.823,1
97,3.2333,616.441,217.848,1
98,3.2667,616.126,215.746,1
99,3.3,615.759,213.518,1
100,3.3333,615.333,211.16,1
101,3.3667,614.84,208.674,1
102,3.4,614.273,206.061,1
103,3.4333,613.624,203.323,1
104,3.4667,612.882,200.462,1
105,3.5,612.04,197.485,1
106,3.5333,611.086,194.395,1
107,3.5667,610.01,191.201,1
108,3.6,608.801,187.911,1
109,3.6333,607.447,184.536,1
110,3.6667,605.937,181.088,1
111,3.7,604.258,177.581,1
112,3.7333,602.398,174.03,1
113,3.7667,600.343,170.455,1
114,3.8,598.08,166.873,1
