frame_idx,timestamp_s,ground_truth_u,ground_truth_v,in_fov
0,0.0,382.867,319.732,1
1,0.0333,391.554,314.98,1
2,0.0667,399.459,310.507,1
3,0.1,406.545,306.345,1
4,0.1333,412.792,302.515,1
5,0.1667,418.2,299.027,1
6,0.2,422.785,295.879,1
7,0.2333,426.581,293.06,1
8,0.2667,429.636,290.548,1
9,0.3,432.01,288.315,1
10,0.3333,433.776,286.323,1
11,0.3667,435.014,284.533,1
12,0.4,435.809,282.899,1
13,0.4333,436.248,281.377,1
14,0.4667,436.418,279.919,1
15,0.5,436.403,278.484,1
16,0.5333,436.281,277.03,1
17,0.5667,436.122,275.522,1
18,0.6,435.987,273.932,1
19,0.6333,435.923,272.237,1
20,0.6667,435.966,270.423,1
21,0.7,436.14,268.483,1
22,0.7333,436.453,266.42,1
23,0.7667,436.903,264.242,1
24,0.8,437.473,261.964,1
25,0.8333,438.138,259.611,1
26,0.8667,438.863,257.208,1
27,0.9,439.605,254.786,1
28,0.9333,440.316,252.38,1
29,0.9667,440.947,250.023,1
30,1.0,441.447,247.748,1
31,1.0333,441.768,245.586,1
32,1.0667,441.867,243.566,1
33,1.1,441.705,241.71,1
34,1.1333,441.253,240.035,1
35,1.1667,440.491,238.551,1
36,1.2,439.41,237.261,1
37,1.2333,438.012,236.16,1
38,1.2667,436.309,235.238,1
39,1.3,434.326,234.473,1
40,1.3333,432.097,233.842,1
41,1.3667,429.664,233.312,1
42,1.4,427.08,232.848,1
43,1.4333,424.4,232.412,1
44,1.4667,421.684,231.963,1
45,1.5,418.994,231.46,1
46,1.5333,416.389,230.865,1
47,1.5667,413.927,230.141,1
48,1.6,411.659,229.258,1
49,1.6333,409.628,228.189,1
50,1.6667,407.868,226.916,1
51,1.7,406.402,225.429,1
52,1.7333,405.242,223.726,1
53,1.7667,404.385,221.815,1
54,1.8,403.816,219.711,1
55,1.8333,403.508,217.44,1
56,1.8667,403.42,215.036,1
57,1.9,403.504,212.538,1
58,1.9333,403.698,209.994,1
59,1.9667,403.936,207.455,1
60,2.0,404.147,204.974,1
61,2.0333,404.255,202.608,1
62,2.0667,404.186,200.412,1
63,2.1,403.869,198.438,1
64,2.1333,403.238,196.735,1
65,2.1667,402.234,195.345,1
66,2.2,400.809,194.302,1
67,2.2333,398.928,193.633,1
68,2.2667,396.567,193.354,1
69,2.3,393.719,193.47,1
70,2.3333,390.393,193.976,1
71,2.3667,386.612,194.853,1
72,2.4,382.414,196.075,1
73,2.4333,377.853,197.602,1
74,2.4667,372.997,199.388,1
75,2.5,367.921,201.376,1
76,2.5333,362.713,203.505,1
77,2.5667,357.467,205.706,1
78,2.6,352.279,207.91,1
79,2.6333,347.247,210.046,1
80,2.6667,342.466,212.045,1
81,2.7,338.026,213.84,1
82,2.7333,334.011,215.37,1
83,2.7667,330.492,216.581,1
84,2.8,327.528,217.427,1
85,2.8333,325.163,217.872,1
86,2.8667,323.426,217.893,1
87,2.9,322.326,217.476,1
88,2.9333,321.858,216.62,1
89,2.9667,321.997,215.335,1
90,3.0,322.701,213.645,1
91,3.0333,323.916,211.583,1
92,3.0667,325.568,209.191,1
93,3.1,327.578,206.522,1
94,3.1333,329.851,203.634,1
95,3.1667,332.29,200.591,1
96,3.2,334.791,197.458,1
97,3.2333,337.252,194.306,1
98,3.2667,339.571,191.201,1
99,3.3,341.652,188.207,1
100,3.3333,343.405,185.387,1
101,3.3667,344.753,182.794,1
102,3.4,345.63,180.476,1
103,3.4333,345.982,178.473,1
104,3.4667,345.774,176.814,1
105,3.5,344.983,175.52,1
106,3.5333,343.603,174.602,1
107,3.5667,341.647,174.06,1
108,3.6,339.137,173.888,1
109,3.6333,336.114,174.068,1
110,3.6667,332.627,174.577,1
111,3.7,328.738,175.387,1
112,3.7333,324.514,176.462,1
113,3.7667,320.028,177.767,1
114,3.8,315.357,179.262,1
115,3.8333,310.577,180.909,1
116,3.8667,305.76,182.672,1
117,3.9,300.975,184.516,1
118,3.9333,296.285,186.413,1
119,3.9667,291.743,188.338,1
120,4.0,287.391,190.273,0
121,4.0333,283.262,192.205,0
122,4.0667,279.378,194.129,0
123,4.1,275.747,196.046,0
124,4.1333,272.37,197.963,0
125,4.1667,269.233,199.893,0
126,4.2,266.317,201.853,0
127,4.2333,263.594,203.862,0
128,4.2667,261.032,205.943,0
129,4.3,258.593,208.118,0
130,4.3333,256.24,210.41,0
131,4.3667,253.937,212.839,0
132,4.4,251.65,215.419,0
133,4.4333,249.351,218.162,0
134,4.4667,247.019,221.072,0
135,4.5,244.642,224.147,0
136,4.5333,242.217,227.378,0
137,4.5667,239.751,230.746,0
138,4.6,237.264,234.224,0
139,4.6333,234.785,237.78,0
140,4.6667,232.353,241.37,0
141,4.7,230.018,244.948,0
142,4.7333,227.836,248.46,0
143,4.7667,225.869,251.849,0
144,4.8,224.184,255.056,0
145,4.8333,222.849,258.02,0
146,4.8667,221.93,260.682,0
147,4.9,221.49,262.986,0
148,4.9333,221.587,264.881,0
149,4.9667,222.271,266.322,0
150,5.0,223.578,267.272,0
151,5.0333,225.535,267.704,1
152,5.0667,228.153,267.602,1
153,5.1,231.428,266.958,1
154,5.1333,235.341,265.781,1
155,5.1667,239.856,264.087,1
156,5.2,244.922,261.907,1
157,5.2333,250.471,259.282,1
158,5.2667,256.424,256.263,1
159,5.3,262.688,252.911,1
160,5.3333,269.164,249.291,1
161,5.3667,275.742,245.478,1
162,5.4,282.309,241.549,1
163,5.4333,288.753,237.582,1
164,5.4667,294.959,233.655,1
165,5.5,300.823,229.844,1
166,5.5333,306.243,226.221,1
167,5.5667,311.131,222.849,1
168,5.6,315.41,219.787,1
169,5.6333,319.019,217.082,1
170,5.6667,321.913,214.77,1
171,5.7,324.065,212.878,1
172,5.7333,325.465,211.419,1
173,5.7667,326.121,210.395,1
174,5.8,326.062,209.798,1
175,5.8333,325.328,209.606,1
176,5.8667,323.98,209.789,1
177,5.9,322.087,210.308,1
178,5.9333,319.732,211.117,1
179,5.9667,317.004,212.164,1
180,6.0,314.0,213.395,1
181,6.0333,310.816,214.751,1
182,6.0667,307.549,216.177,1
183,6.1,304.293,217.617,1
184,6.1333,301.134,219.021,1
185,6.1667,298.15,220.343,1
186,6.2,295.408,221.546,1
187,6.2333,292.961,222.598,1
188,6.2667,290.85,223.479,1
189,6.3,289.099,224.175,1
190,6.3333,287.718,224.685,1
191,6.3667,286.702,225.015,1
192,6.4,286.032,225.179,1
193,6.4333,285.675,225.203,1
194,6.4667,285.587,225.116,1
195,6.5,285.715,224.955,1
196,6.5333,285.998,224.76,1
197,6.5667,286.371,224.574,1
198,6.6,286.767,224.441,1
199,6.6333,287.119,224.406,1
200,6.6667,287.364,224.509,1
201,6.7,287.442,224.788,1
202,6.7333,287.304,225.275,1
203,6.7667,286.907,225.996,1
204,6.8,286.222,226.971,1
205,6.8333,285.23,228.211,1
206,6.8667,283.925,229.72,1
207,6.9,282.314,231.493,1
208,6.9333,280.416,233.517,1
209,6.9667,278.261,235.774,1
210,7.0,275.89,238.238,1
211,7.0333,273.353,240.877,1
212,7.0667,270.706,243.659,1
213,7.1,268.009,246.544,1
214,7.1333,265.327,249.496,1
215,7.1667,262.722,252.477,1
216,7.2,260.256,255.451,1
217,7.2333,257.985,258.387,1
218,7.2667,255.959,261.256,1
219,7.3,254.219,264.038,1
220,7.3333,252.798,266.718,1
221,7.3667,251.715,269.287,1
222,7.4,250.98,271.747,1
223,7.4333,250.59,274.104,1
224,7.4667,250.532,276.372,1
225,7.5,250.78,278.572,1
226,7.5333,251.3,280.732,1
227,7.5667,252.049,282.882,1
228,7.6,252.978,285.056,1
229,7.6333,254.035,287.291,1
230,7.6667,255.164,289.622,1
231,7.7,256.312,292.083,1
232,7.7333,257.426,294.705,1
233,7.7667,258.461,297.515,1
234,7.8,259.378,300.531,1
235,7.8333,260.148,303.766,1
236,7.8667,260.754,307.223,1
237,7.9,261.188,310.895,1
238,7.9333,261.458,314.767,1
239,7.9667,261.585,318.813,1
240,8.0,261.603,322.995,1
241,8.0333,261.558,327.27,1
242,8.0667,261.507,331.583,1
243,8.1,261.519,335.873,1
244,8.1333,261.668,340.074,1
245,8.1667,262.035,344.115,1
246,8.2,262.704,347.924,1
247,8.2333,263.76,351.427,1
248,8.2667,265.283,354.553,1
249,8.3,267.349,357.235,1
250,8.3333,270.025,359.411,1
251,8.3667,273.37,361.027,1
252,8.4,277.425,362.039,1
253,8.4333,282.22,362.412,1
254,8.4667,287.768,362.124,1
255,8.5,294.062,361.166,1
256,8.5333,301.081,359.54,1
257,8.5667,308.783,357.261,1
258,8.6,317.11,354.359,1
259,8.6333,325.989,350.873,1
260,8.6667,335.33,346.853,1
261,8.7,345.033,342.361,1
262,8.7333,354.987,337.463,1
263,8.7667,365.073,332.234,1
264,8.8,375.171,326.752,1
265,8.8333,385.157,321.097,1
266,8.8667,394.909,315.348,1
267,8.9,404.311,309.582,1
268,8.9333,413.257,303.875,1
269,8.9667,421.648,298.292,1
270,9.0,429.401,292.893,1
271,9.0333,436.446,287.731,1
272,9.0667,442.73,282.846,1
273,9.1,448.219,278.27,1
274,9.1333,452.893,274.023,1
275,9.1667,456.754,270.114,1
276,9.2,459.818,266.543,1
277,9.2333,462.117,263.299,1
278,9.2667,463.698,260.364,1
279,9.3,464.62,257.71,1
280,9.3333,464.952,255.304,1
281,9.3667,464.771,253.11,1
282,9.4,464.156,251.088,1
283,9.4333,463.191,249.196,1
284,9.4667,461.958,247.393,1
285,9.5,460.534,245.643,1
286,9.5333,458.993,243.908,1
287,9.5667,457.399,242.161,1
288,9.6,455.806,240.376,1
289,9.6333,454.26,238.536,1
290,9.6667,452.791,236.631,0
291,9.7,451.419,234.657,0
292,9.7333,450.152,232.618,0
293,9.7667,448.986,230.525,0
294,9.8,447.906,228.394,0
295,9.8333,446.887,226.247,0
296,9.8667,445.898,224.108,0
297,9.9,444.901,222.005,0
298,9.9333,443.854,219.966,0
299,9.9667,442.716,218.021,0
300,10.0,441.446,216.195,0
301,10.0333,440.004,214.511,0
302,10.0667,438.359,212.988,0
303,10.1,436.484,211.638,0
304,10.1333,434.363,210.469,0
305,10.1667,431.987,209.48,0
306,10.2,429.361,208.661,0
307,10.2333,426.498,207.998,0
308,10.2667,423.422,207.468,0
309,10.3,420.169,207.041,0
310,10.3333,416.782,206.68,0
311,10.3667,413.313,206.346,0
312,10.4,409.818,205.996,0
313,10.4333,406.36,205.582,0
314,10.4667,403.001,205.058,0
315,10.5,399.802,204.38,0
316,10.5333,396.824,203.506,0
317,10.5667,394.119,202.397,0
318,10.6,391.734,201.022,0
319,10.6333,389.704,199.357,0
320,10.6667,388.054,197.387,0
321,10.7,386.796,195.104,1
322,10.7333,385.928,192.514,1
323,10.7667,385.436,189.629,1
324,10.8,385.288,186.474,1
325,10.8333,385.441,183.083,1
326,10.8667,385.84,179.499,1
327,10.9,386.419,175.772,1
328,10.9333,387.099,171.959,1
329,10.9667,387.799,168.122,1
330,11.0,388.431,164.328,1
331,11.0333,388.905,160.642,1
332,11.0667,389.133,157.13,1
333,11.1,389.03,153.857,1
334,11.1333,388.517,150.881,1
